SUA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
6000,335,512,844,16643,17838,34484,0,0,0,1104,1226,2328,220,243,466,10452,11048,21502,87,101,185,129,113,242,391,477,869,254,267,515,192,205,393,5,3,11,281,283,561,553,642,1195,1495,1582,3079,192,261,452,163,210,367,3058,3596,6655,1936,2108,4048,96,88,182,37246,40285,77527,70,66,141,85,59,146,22,27,49,11,15,26,4,3,12,221,323,538,239,337,581,29783,25807,55593,222,184,407,100,154,256,30103,26150,56254,8537,7696,16232,76643,75132,151777
6001,89,112,201,2175,2759,4927,0,0,0,380,467,848,104,101,206,1886,2233,4113,0,7,7,23,19,40,17,51,74,38,38,76,50,49,94,4,0,4,67,77,148,121,155,280,146,166,314,38,72,105,32,38,72,678,917,1597,422,460,885,3,0,9,6181,7609,13786,26,41,75,32,27,64,0,0,0,6,0,6,4,0,7,34,51,89,46,52,96,5040,4708,9742,57,36,96,19,21,37,5111,4766,9874,1218,1166,2387,12711,13782,26490
6002,78,132,210,2492,3132,5622,0,0,0,421,465,886,102,95,191,2062,2423,4483,78,71,143,25,35,58,63,78,144,46,59,109,20,25,48,3,0,3,51,71,127,211,267,471,269,315,583,51,94,136,23,17,42,672,949,1616,375,469,846,6,14,22,6965,8572,15541,30,33,62,15,20,37,3,7,9,4,4,5,3,3,4,35,57,97,38,64,105,5389,5147,10538,48,43,91,24,39,61,5459,5228,10692,1350,1371,2726,13948,15436,29381
6003,805,1113,1918,17701,21895,39595,0,0,0,712,875,1588,140,130,272,15960,18936,34898,110,157,269,826,820,1651,216,307,523,301,299,594,238,327,568,68,65,132,357,433,789,884,1020,1907,1455,1746,3199,198,235,433,154,200,351,2045,3095,5140,1817,2168,3985,117,190,308,43294,52902,96200,833,782,1616,789,741,1539,69,62,134,6,11,21,195,191,382,280,410,693,481,620,1104,42157,39204,81365,428,323,755,148,223,367,42733,39756,82489,9775,9244,19021,98785,105219,204010
6004,381,423,803,7402,9190,16589,0,0,0,681,815,1496,87,108,191,5658,6668,12324,116,141,259,106,98,207,156,230,381,112,152,262,87,105,194,32,24,52,245,286,532,515,616,1132,1180,1382,2565,126,211,336,67,68,130,1346,1971,3321,1215,1363,2579,67,88,156,19200,23510,42707,347,294,645,398,315,716,18,34,54,11,3,12,40,38,74,176,200,377,227,234,467,15779,14512,30293,141,116,263,60,72,129,15984,14705,30681,4013,4074,8083,40568,43582,84153
6005,22,44,66,1187,1422,2609,0,0,0,200,230,426,5,13,25,958,1169,2123,17,29,48,4,5,9,24,30,61,3,14,17,17,16,33,0,0,0,18,24,47,153,189,343,191,224,422,27,37,60,17,10,28,464,549,1013,220,255,472,0,11,11,3510,4236,7745,10,13,21,0,0,3,3,3,4,0,0,0,3,0,5,9,19,27,12,23,29,2631,2358,4986,26,15,40,6,6,16,2658,2381,5040,612,630,1243,6829,7326,14151
7000,287,385,666,3549,3573,7124,0,0,0,1327,1449,2776,3,3,12,7070,7114,14185,14,26,40,92,65,153,57,59,120,54,67,125,1895,2094,3991,8,6,13,850,897,1748,369,452,825,363,314,674,45,48,89,67,96,158,4182,4151,8332,834,846,1687,14,25,36,20798,21288,42084,126,98,226,121,62,178,5,9,21,1509,1437,2954,16,8,20,78,86,162,1604,1537,3142,10529,8732,19261,84,54,131,51,35,81,10654,8817,19474,8101,6620,14718,41699,38810,80511
7001,166,251,419,894,956,1845,0,0,0,292,376,664,3,0,3,2220,2393,4618,9,12,17,35,21,54,13,22,36,113,94,200,482,636,1119,17,23,39,69,86,155,244,272,515,179,169,348,18,25,47,39,60,96,358,489,840,346,384,727,15,23,43,5352,6035,11382,186,166,345,86,77,167,9,10,19,36,40,71,82,84,164,50,66,119,166,189,358,4142,3915,8055,38,33,71,17,23,46,4201,3968,8167,1961,1927,3887,12131,12621,24753
7002,1514,1956,3470,5115,5146,10266,0,0,0,800,848,1655,3,3,6,13389,13652,27044,72,67,140,2107,1897,3996,165,219,383,145,148,288,413,480,898,52,53,107,301,358,658,677,783,1460,772,757,1529,88,113,198,169,195,365,1813,1988,3802,1362,1418,2783,39,33,67,27486,28165,55649,1621,1374,2995,1113,881,1993,43,34,75,38,45,86,257,188,440,191,237,420,483,465,946,21724,18137,39860,205,153,359,87,104,189,22018,18392,40412,10463,7569,18034,64740,58836,123574
8000,4,8,14,95,84,176,0,0,0,4,5,7,0,0,0,159,132,290,0,0,0,5,4,14,0,0,0,0,0,0,0,0,4,0,0,0,10,4,13,3,4,10,13,10,22,0,0,3,0,0,0,9,15,29,18,16,30,0,0,0,318,287,608,4,4,13,14,10,19,0,0,3,0,0,3,0,3,4,3,5,3,4,7,13,326,292,613,7,0,5,0,0,0,328,296,624,156,94,248,831,703,1538
8001,4579,5689,10263,21789,26505,48301,12,5,25,2044,2321,4369,103,114,214,46425,52194,98619,141,157,299,3610,3768,7372,314,446,762,438,413,845,1049,1409,2457,317,327,645,1191,1257,2450,2016,2324,4344,3735,4400,8138,342,400,741,355,388,739,4531,5991,10526,4567,5255,9825,212,235,443,93194,107915,201104,5508,5321,10828,5514,4951,10460,317,352,666,25,46,77,1310,1206,2510,710,896,1604,2041,2152,4193,80336,72506,152844,1093,848,1941,336,471,810,81773,73821,155593,20247,19009,39257,213172,219205,432369
9000,182,166,346,335,362,695,0,0,0,12,13,19,0,0,0,210,224,434,0,0,0,3,3,8,7,3,10,3,0,3,3,4,8,0,0,0,6,10,22,10,14,20,23,36,64,4,0,4,27,26,52,98,100,200,43,49,89,0,0,0,783,840,1627,6,9,8,387,376,758,3,0,3,7,21,31,0,0,0,7,6,17,14,25,46,534,432,964,0,4,5,3,8,14,542,442,984,550,266,811,2462,2120,4587
