SUA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
1015,0,5,0,125,54,3,0,54,9,23,3,3,0,18,99,269,8,0,3,6,0,4,0,0,0,6,12,34,470,54,21,716,72,359,17,84,20,206,112,2138
1016,0,0,0,29,18,4,0,25,0,3,0,5,0,21,44,124,0,0,0,0,0,0,0,0,0,5,5,15,220,52,17,290,27,163,21,80,20,187,54,1130
1017,0,3,0,101,30,6,4,33,0,19,0,14,0,20,101,228,0,0,0,0,0,0,0,0,0,3,8,17,544,136,15,751,69,366,20,160,21,222,117,2435
1018,0,3,0,113,22,3,0,20,4,19,0,4,0,11,45,135,3,0,0,3,0,0,0,0,0,9,3,21,207,44,14,368,44,174,14,61,17,139,57,1130
1019,0,4,0,178,55,7,3,51,0,33,5,15,3,28,135,325,6,3,3,3,0,0,0,0,0,9,9,31,498,91,18,771,63,415,41,157,28,263,151,2495
1020,0,0,0,141,28,6,0,24,0,13,0,3,0,9,60,152,0,0,0,0,0,6,0,0,0,0,3,6,254,42,19,428,49,259,16,52,18,77,67,1275
1021,0,0,0,125,26,0,4,25,0,16,0,4,3,11,46,138,0,0,0,3,0,0,0,0,0,0,6,13,232,42,13,370,48,296,14,51,29,125,64,1275
1022,3,6,0,189,47,16,5,57,0,31,3,15,3,27,211,418,4,0,3,0,3,3,0,0,0,0,0,23,480,125,31,781,59,361,28,140,30,229,217,2483
1023,30,76,3,5608,842,145,46,915,83,469,51,218,68,416,2738,5986,55,6,23,68,20,37,5,21,18,71,103,427,10230,1971,427,17358,1943,8690,582,2506,593,4540,2939,51775
1024,0,5,0,206,58,9,5,65,5,41,6,18,11,38,196,447,0,0,3,3,0,3,0,0,0,5,10,30,626,124,36,1051,108,614,26,209,47,370,217,3430
1025,5,3,0,408,75,6,0,92,6,34,3,11,3,26,220,476,4,0,0,3,0,0,0,0,0,7,7,24,1010,123,31,1337,170,651,47,182,42,260,236,4084
1026,0,0,0,65,24,3,0,27,3,13,0,3,0,13,71,164,0,0,0,3,0,0,0,0,0,3,6,11,247,28,9,350,40,193,10,34,12,104,75,1105
