UCL_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL514002,0,3,3,53,5,62,3,0,3,0,0,0,0,0,0,963,858,1818,74,57,130,18,0,18,4,0,4,26,12,39,34,13,49,35,37,77,1214,986,2204,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,7,20,15,11,28,0,0,0,0,0,0,0,0,0,3,0,3,78,150,226,166,207,370,17,23,45,1504,1374,2874
UCL514003,0,0,0,39,10,51,0,0,0,0,3,3,0,3,4,1044,921,1971,84,88,175,15,0,15,9,0,9,34,23,58,41,10,54,75,77,150,1346,1133,2478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,4,17,11,4,24,0,0,0,0,0,0,0,0,0,3,0,3,51,120,171,185,251,438,21,21,39,1621,1536,3161
UCL514004,0,0,6,20,8,28,0,0,0,0,0,0,0,0,0,911,822,1732,74,63,133,41,0,39,3,3,9,15,7,17,12,3,18,57,60,122,1133,968,2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,16,6,19,13,3,23,0,0,0,0,0,0,0,0,0,3,0,0,31,70,99,123,145,272,14,22,28,1317,1209,2517
UCL514005,21,31,51,81,13,94,5,0,5,0,0,0,0,0,0,1265,1091,2361,95,107,202,45,0,45,11,0,15,4,5,8,64,16,78,15,27,45,1607,1286,2897,22,21,41,0,0,0,0,0,0,35,37,75,0,6,8,0,0,0,58,62,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,27,76,67,144,15,13,30,0,0,3,0,0,0,17,20,37,37,108,148,210,248,457,35,27,59,1981,1752,3741
UCL515001,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,94,101,195,8,14,22,0,0,0,5,0,5,3,3,9,0,3,6,11,10,29,131,135,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,17,31,33,33,70,3,0,8,187,190,372
UCL515002,0,0,0,12,0,16,0,0,0,0,0,0,0,0,0,200,174,373,8,8,18,4,0,4,0,0,0,0,0,0,3,0,8,3,3,4,233,184,424,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,16,20,32,41,79,7,0,8,289,249,534
UCL515003,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,180,178,356,11,18,32,8,0,8,4,0,4,3,0,5,10,0,8,14,21,39,233,224,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,18,34,32,53,88,7,3,13,289,301,590
UCL515004,3,0,3,3,3,7,0,0,0,0,0,0,0,0,0,305,281,583,15,23,34,10,0,16,3,0,3,16,3,18,6,4,9,33,14,52,396,328,724,0,0,0,0,0,0,0,0,0,3,7,10,0,0,0,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,0,0,0,0,0,0,0,0,0,0,0,0,9,13,24,45,51,97,3,3,6,463,399,857
UCL515005,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,301,261,558,18,14,40,13,0,13,3,0,3,0,0,3,5,3,7,9,12,29,361,294,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,16,28,50,63,112,14,12,26,442,386,825
UCL515006,0,0,0,50,4,52,0,0,0,0,0,0,3,0,4,527,536,1061,36,72,112,13,0,17,6,7,10,25,24,49,24,8,30,47,74,123,730,728,1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,5,6,4,7,0,0,0,0,0,0,0,0,0,0,0,0,25,27,58,88,85,179,12,10,25,869,854,1724
UCL515007,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,220,211,433,15,10,24,10,0,10,3,0,3,4,0,4,17,0,13,11,9,15,297,227,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,31,51,43,57,100,8,10,22,363,329,696
UCL515008,0,0,0,8,5,11,0,0,0,0,0,0,3,0,3,215,164,379,24,14,36,8,0,4,6,0,5,6,0,8,5,3,4,13,12,23,275,201,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,13,14,42,30,74,4,3,10,327,245,577
UCL515009,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,301,266,569,12,31,46,4,0,7,3,0,4,6,6,13,8,3,6,35,40,77,376,350,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,28,53,54,79,134,5,7,14,466,470,934
UCL515010,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,393,410,799,47,53,100,5,0,5,7,3,15,13,19,30,14,9,20,73,79,152,558,569,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,4,9,13,0,0,0,0,0,0,0,0,0,0,0,0,14,14,28,54,47,101,14,15,32,640,652,1291
UCL515011,0,0,0,14,4,18,0,0,0,0,0,0,0,0,0,323,300,626,23,22,48,6,0,6,0,0,0,3,0,7,9,3,19,15,19,34,402,355,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,23,33,66,55,127,10,5,12,502,442,944
UCL515012,0,0,0,24,7,29,0,0,0,0,0,0,0,0,0,344,375,716,21,27,50,6,0,6,6,0,6,9,0,9,22,0,21,3,4,9,430,414,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,4,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,9,15,18,53,56,108,5,3,11,505,488,995
UCL515013,0,0,0,15,5,22,0,0,0,0,0,0,0,0,0,387,326,710,39,32,68,18,0,18,7,8,15,34,36,70,17,5,23,49,62,109,564,466,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,21,9,10,19,0,0,0,0,0,0,0,0,0,0,0,0,18,32,46,99,86,186,19,11,28,698,618,1314
UCL515014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,61,128,18,24,39,0,0,0,0,0,0,7,0,9,4,0,10,66,78,145,170,163,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,8,12,22,7,4,15,190,184,371
UCL515015,0,0,0,10,7,8,0,0,0,0,0,0,0,0,0,483,314,790,41,46,90,4,0,4,4,0,4,3,0,3,0,4,4,12,19,24,559,383,937,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,11,22,58,72,130,6,4,11,628,473,1101
UCL515016,0,0,0,13,0,16,0,0,0,0,0,0,0,0,0,172,164,333,14,13,23,5,0,5,0,0,0,13,3,13,11,3,12,10,20,32,236,199,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,4,18,22,35,29,64,10,6,15,290,257,545
UCL515017,0,0,0,15,3,16,0,0,0,0,0,0,0,0,0,137,126,261,24,20,38,3,0,3,3,0,3,8,10,22,9,3,18,27,41,65,221,199,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,13,23,38,47,45,96,7,4,15,302,271,575
UCL515018,0,0,0,26,6,38,0,0,0,0,0,0,0,0,0,273,224,500,29,26,52,9,0,6,0,0,0,5,0,5,0,0,0,11,11,17,349,274,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,3,0,3,15,0,15,6,3,8,20,3,21,0,0,0,0,0,0,0,0,0,0,0,0,4,9,12,48,44,90,4,3,7,419,328,750
UCL515019,0,0,0,25,9,31,0,0,0,0,0,0,0,3,7,607,438,1038,71,91,158,13,0,13,3,0,3,6,0,5,9,6,12,30,29,57,760,571,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,21,33,56,57,121,16,5,25,847,660,1508
UCL515020,0,0,0,29,5,33,0,0,0,0,0,0,4,0,3,632,618,1251,93,102,188,10,0,10,31,15,49,34,32,68,15,4,20,109,135,242,953,911,1861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,10,12,4,17,0,0,0,0,0,0,3,0,4,3,0,4,14,25,44,88,99,189,10,14,28,1084,1057,2140
UCL515021,0,0,0,10,3,7,0,0,0,0,0,0,0,0,0,306,264,565,15,10,25,3,0,3,0,0,0,4,3,6,3,0,3,3,3,8,345,286,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,21,45,52,47,98,12,6,18,430,365,793
UCL515022,0,0,0,18,3,19,0,0,0,0,0,0,0,0,0,694,606,1300,74,52,125,21,0,21,5,0,4,17,0,17,3,3,8,24,33,60,856,698,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,18,27,38,90,118,211,15,9,22,976,854,1828
UCL515023,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,422,331,746,25,29,61,21,0,21,7,0,7,15,3,12,5,4,10,32,39,77,551,399,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,15,32,54,84,137,11,5,13,630,507,1143
UCL515024,0,0,0,9,3,9,0,0,0,0,0,0,0,0,0,237,187,425,16,26,43,7,0,7,9,0,9,4,3,10,10,0,10,19,28,53,316,247,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,14,22,35,33,64,6,0,9,363,293,663
UCL515025,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,270,211,477,28,26,54,4,0,4,4,0,3,3,0,3,3,3,3,9,28,33,322,265,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,8,18,40,41,78,6,4,13,382,319,699
UCL515026,0,0,0,13,0,15,0,0,0,0,0,0,0,0,0,612,545,1159,50,48,94,16,0,21,0,0,4,7,3,10,14,0,14,48,73,124,761,667,1428,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,11,11,5,15,0,0,0,0,0,0,0,0,0,0,0,0,13,31,45,73,90,169,23,10,34,882,806,1688
UCL515027,0,0,0,109,10,119,3,0,3,0,0,0,3,0,3,698,544,1245,127,80,203,25,0,25,18,9,26,55,15,67,33,5,41,68,98,164,1130,767,1895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,24,0,3,0,8,0,5,23,7,34,10,0,14,36,8,46,0,0,0,3,0,7,0,0,0,3,0,7,4,25,31,166,101,275,28,20,50,1382,922,2302
UCL515028,0,0,0,135,37,173,0,0,0,0,0,0,0,0,0,148,117,265,33,9,48,0,0,0,3,0,3,6,9,14,3,3,11,17,27,44,348,212,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,7,3,3,7,8,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,66,36,106,0,0,3,428,268,698
UCL515029,8,3,9,32,4,30,0,0,0,0,0,0,0,0,0,451,429,880,23,31,59,13,0,17,3,0,3,3,0,3,17,3,24,12,26,38,565,497,1068,0,0,3,0,0,0,0,0,0,4,6,7,0,0,0,0,0,0,7,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,7,18,13,23,5,4,6,0,0,0,0,0,0,6,4,8,14,38,50,89,94,180,8,6,16,700,646,1346
UCL515030,0,0,0,22,4,27,0,0,0,0,0,0,0,0,4,308,297,606,31,24,48,6,0,6,5,0,7,3,3,6,14,3,17,17,25,44,409,358,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,6,5,3,10,0,0,0,0,0,0,3,3,4,3,3,4,28,41,67,67,79,152,11,7,23,522,492,1006
UCL515031,0,0,0,265,49,316,0,0,0,0,0,0,0,0,0,381,326,703,49,27,77,8,0,8,3,0,3,8,13,24,12,0,11,25,39,62,744,454,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,0,0,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,5,14,148,97,240,24,3,33,925,562,1493
UCL515032,0,3,3,23,4,33,0,0,0,0,0,0,0,0,0,254,201,455,30,20,50,13,0,13,0,0,0,3,0,3,20,3,23,6,6,13,353,233,586,0,0,0,0,0,0,0,0,0,3,3,12,0,3,3,0,0,0,4,9,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,3,10,10,13,28,0,6,9,0,0,0,0,0,0,0,6,9,10,34,44,61,58,112,14,14,24,444,361,808
UCL515033,0,0,0,8,3,8,0,0,0,0,0,0,0,0,0,175,172,350,6,13,17,9,0,9,0,0,0,4,0,4,0,0,0,21,20,40,228,211,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,12,17,20,25,43,3,3,4,255,257,506
UCL515034,0,0,0,9,3,14,0,0,0,0,0,0,0,0,0,317,257,572,26,15,44,6,0,9,0,0,0,0,0,3,14,0,11,10,17,23,383,295,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,9,14,80,81,165,14,3,16,492,395,882
UCL515035,0,0,0,108,33,138,0,0,0,0,0,0,0,0,0,183,154,343,40,23,63,0,0,0,3,0,3,0,0,6,9,3,10,14,16,32,362,227,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,5,3,7,4,3,6,10,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,74,44,113,3,0,8,446,281,724
UCL515036,0,0,0,5,3,13,0,0,0,0,0,0,0,0,0,309,277,579,18,25,45,19,3,18,3,0,3,4,5,7,11,3,16,24,22,49,393,340,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,21,43,53,72,128,6,0,12,472,434,909
UCL521001,0,0,0,5,3,7,0,0,0,0,0,0,0,0,0,80,88,167,10,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,101,97,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,22,22,37,0,0,3,121,120,242
UCL521002,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,110,102,205,5,13,17,10,0,9,3,0,3,0,0,0,3,0,4,3,0,4,137,115,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,21,24,40,4,4,8,164,152,316
UCL521003,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,88,68,155,6,3,12,0,0,0,0,0,0,0,0,3,3,3,5,9,13,23,111,90,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,14,21,18,21,42,3,3,4,141,126,266
UCL521004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,24,5,8,8,0,0,0,0,0,0,0,0,0,0,0,0,27,28,54,45,41,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,44,44,92
UCL521005,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,182,129,312,12,13,23,4,0,11,0,0,3,0,0,0,3,0,3,19,20,32,230,162,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,10,3,4,3,10,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,46,43,86,10,7,12,286,219,509
UCL521006,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,133,142,274,7,10,17,3,0,4,0,0,0,0,0,0,3,0,7,3,3,6,161,154,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,11,16,38,37,73,0,3,3,207,200,406
UCL521007,0,0,0,3,0,3,0,3,4,0,0,0,0,0,0,49,38,91,4,9,9,0,0,0,0,0,0,0,0,0,0,0,0,7,13,23,69,60,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,6,16,27,4,0,4,85,86,167
UCL521008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,41,97,6,0,10,4,0,4,3,0,3,0,0,0,3,0,3,11,11,20,78,55,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,12,22,5,0,5,94,82,178
UCL521009,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,65,51,113,8,5,9,5,0,5,0,0,0,4,0,4,0,3,3,16,14,33,100,76,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,8,8,21,0,0,0,106,95,206
UCL521010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,96,204,12,3,22,0,0,0,0,0,0,0,0,0,3,0,3,3,8,8,133,103,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,20,22,45,0,5,8,160,125,290
UCL521011,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,111,87,199,11,7,15,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,128,96,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,16,31,5,4,4,152,117,263
UCL521012,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,78,78,152,0,6,7,3,0,3,0,0,0,0,0,0,0,0,0,4,6,12,90,94,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,14,29,3,3,8,114,111,222
UCL521013,3,3,6,3,3,4,0,0,0,0,0,0,0,0,0,103,90,193,10,5,9,12,0,13,0,0,0,0,0,0,7,4,8,4,0,6,135,104,240,0,0,0,0,0,0,0,0,0,3,3,10,0,0,0,0,0,0,3,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,0,0,0,0,0,0,0,0,0,0,0,0,3,11,13,8,18,23,0,0,3,155,136,295
UCL521014,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,56,50,104,4,6,15,3,0,3,0,0,0,0,4,4,6,0,6,25,10,30,95,74,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,11,19,17,39,3,3,7,121,100,213
UCL521015,0,3,3,6,3,10,0,0,0,0,0,0,0,0,0,129,128,253,10,0,7,4,0,4,0,0,0,0,0,0,3,0,4,3,6,10,155,142,299,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9,4,11,28,42,68,11,4,9,202,198,397
