UCL_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
UCL114017,9,11,19,3,9,13,6,15,18,10,30,38,38,58,92,39,40,73,97,45,146,88,49,133,140,42,182,141,26,166,102,28,130,106,36,144,228,29,257,125,10,131,107,10,114,69,10,78,153,6,160,199,30,224,28,13,41,1677,481,2152
UCL114018,22,13,36,7,5,9,11,15,19,14,25,38,42,66,109,41,25,61,137,25,159,99,53,154,177,38,214,202,33,232,180,26,205,193,23,212,370,22,394,262,3,263,158,0,161,93,11,97,147,0,147,266,4,270,29,16,39,2429,413,2839
UCL114019,13,13,29,8,17,30,14,55,65,15,91,101,82,271,356,57,135,198,261,98,355,184,96,282,245,74,317,222,61,280,132,29,163,128,27,160,193,20,213,101,0,107,68,0,71,38,18,58,63,0,69,188,10,193,29,61,92,2044,1081,3129
UCL114020,16,18,38,9,12,22,28,69,92,26,75,108,65,146,208,64,67,130,145,77,219,107,69,180,147,84,229,151,63,216,115,36,147,114,31,151,210,46,260,113,4,117,68,0,68,41,23,59,60,0,59,199,16,212,71,96,169,1738,943,2677
UCL114021,7,28,42,15,20,33,15,40,56,15,92,108,74,210,287,63,112,176,150,85,238,132,76,210,183,72,253,166,43,213,152,40,199,130,22,157,264,34,293,168,0,170,96,3,96,65,7,75,91,0,91,191,21,206,31,65,90,2007,988,2993
UCL114022,10,25,38,10,14,22,17,66,81,27,126,151,69,292,360,110,147,257,278,94,367,203,104,311,247,84,326,265,37,299,151,29,181,155,24,181,238,25,263,123,3,129,47,0,47,20,10,36,42,0,42,216,18,233,40,79,122,2288,1166,3457
UCL114023,14,20,35,15,19,39,19,99,114,20,168,191,96,333,430,81,133,214,301,93,398,163,76,240,181,68,253,144,29,167,79,11,90,71,17,83,106,7,112,48,7,52,24,0,24,12,6,21,32,3,35,150,13,158,38,91,136,1589,1197,2790
UCL114024,8,16,29,4,10,12,16,44,59,22,72,93,55,131,185,42,52,90,120,48,168,95,71,166,115,64,183,120,34,154,87,27,114,102,29,127,186,35,216,105,0,105,79,0,81,36,16,52,63,6,64,147,3,152,40,59,106,1445,712,2154
UCL114025,18,24,51,12,18,30,22,80,98,40,145,187,95,278,369,90,99,194,227,91,310,167,104,270,207,91,290,205,61,271,174,35,210,171,31,200,259,40,296,176,3,178,105,0,107,52,17,74,99,3,102,270,11,278,56,90,147,2444,1219,3666
UCL114026,9,6,22,11,6,20,15,27,36,18,42,56,58,104,165,64,54,119,175,40,216,118,54,169,153,45,200,161,22,191,144,24,163,137,15,148,235,7,244,133,0,136,73,0,73,37,3,39,53,0,53,172,11,184,23,28,57,1784,495,2283
