UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL115037,0,0,0,27,0,0,0,0,0,3,0,0,0,3,18,28,0,0,0,0,0,0,0,0,0,3,6,11,101,7,6,60,5,53,0,14,3,86,29,362
UCL115038,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,24,3,13,3,11,0,50,13,136
UCL115039,0,0,0,8,0,0,0,0,0,0,0,0,0,7,19,30,0,0,0,0,0,0,0,0,0,6,8,11,60,8,0,42,4,18,3,16,3,85,25,263
UCL115040,0,0,0,3,0,0,0,0,0,0,0,0,0,3,10,12,0,0,0,0,0,0,0,0,0,6,0,5,34,3,0,22,0,19,0,15,4,78,14,200
UCL115041,0,0,0,3,0,0,0,0,0,0,0,3,0,7,24,29,0,0,0,0,0,3,0,0,0,3,0,8,42,6,3,28,0,16,3,24,0,124,24,277
UCL115042,0,0,0,5,0,0,0,0,0,3,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,3,7,5,45,8,3,24,3,16,0,12,0,68,12,191
UCL115043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,0,0,3,18,6,3,13,0,18,0,12,3,70,12,149
UCL115044,0,0,0,10,0,0,0,3,0,0,0,0,0,8,9,19,0,0,0,0,0,0,0,0,0,3,3,8,40,15,0,32,7,26,4,13,4,130,9,276
UCL115045,0,0,0,12,0,0,0,0,0,0,0,0,0,6,23,33,0,0,0,0,0,0,0,0,0,5,9,16,46,15,3,40,0,36,0,26,3,258,40,471
UCL115046,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,3,4,3,15,5,0,16,0,9,0,8,3,52,8,122
UCL115047,0,0,0,4,0,0,0,0,0,0,0,0,0,3,17,26,0,0,0,0,0,0,0,0,0,3,0,8,21,13,0,27,4,15,3,26,3,178,23,302
