UCL_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL122030,36,19,10,4,155
UCL122031,31,32,3,0,121
UCL122032,44,17,4,0,179
UCL122033,18,7,3,0,140
UCL122034,28,19,9,3,207
UCL122035,23,10,14,3,84
UCL122036,8,8,8,0,95
UCL122037,31,7,3,0,91
UCL122038,56,31,9,3,184
UCL122039,23,12,6,0,133
UCL122040,44,38,22,5,191
UCL122041,42,24,8,0,156
UCL122042,59,25,7,0,195
UCL122043,25,11,3,0,132
UCL122044,21,15,8,0,129
UCL122045,14,22,3,0,106
UCL122046,20,19,7,3,98
UCL122047,85,59,25,8,274
UCL122048,50,40,19,0,192
UCL122049,26,26,14,3,130
UCL122050,28,13,3,8,99
UCL122051,23,16,9,0,105
UCL122052,46,23,0,0,212
UCL122053,27,15,7,9,128
UCL122054,31,33,19,4,138
UCL122055,54,57,28,11,247
UCL122056,19,18,10,3,114
UCL122057,29,24,3,0,153
UCL122058,60,38,14,0,245
UCL122059,56,31,5,0,232
UCL122060,45,20,12,3,189
UCL122061,39,29,11,6,206
UCL122062,9,5,0,0,53
UCL122063,9,15,0,3,100
UCL122064,22,11,3,3,115
UCL122065,29,17,12,11,135
UCL122066,40,17,7,0,265
UCL122067,67,47,6,3,234
UCL122068,44,24,21,0,166
UCL122069,25,25,4,3,166
UCL122070,55,31,11,7,221
UCL122071,11,12,4,0,119
UCL122072,34,43,11,0,179
UCL122073,42,29,10,3,228
UCL122074,29,22,13,0,113
UCL122075,38,23,18,4,125
UCL122076,27,11,3,3,141
UCL122077,24,19,15,0,92
UCL122078,22,12,4,0,131
UCL122079,26,16,0,0,96
UCL122080,64,56,25,9,216
UCL122081,18,15,3,0,113
UCL122082,26,16,8,0,124
UCL122083,41,25,21,5,153
UCL122084,39,24,4,0,186
UCL122085,43,23,13,3,206
UCL122086,44,19,12,4,223
UCL122087,31,19,4,0,201
UCL122088,21,17,9,3,114
UCL122089,43,41,18,7,179
UCL122090,28,18,14,3,175
UCL122091,42,38,14,3,124
UCL122092,39,14,4,0,155
UCL122093,15,3,4,3,83
UCL122094,13,27,12,0,91
UCL122095,29,23,10,0,142
UCL122096,28,25,3,3,109
UCL122097,18,24,7,3,113
UCL122098,24,23,12,3,139
UCL122099,51,46,7,3,238
UCL122100,19,14,14,3,124
UCL122101,43,29,12,3,188
UCL122102,23,17,0,0,157
UCL122103,35,24,14,3,165
UCL122104,17,6,4,0,102
UCL122105,26,27,11,0,111
UCL122106,15,16,7,3,105
UCL122107,59,37,6,13,258
UCL122108,28,25,8,0,90
UCL122109,46,80,23,7,224
UCL122110,49,33,11,0,204
UCL122111,28,36,17,0,132
UCL122112,16,11,0,0,75
UCL122113,39,16,4,0,201
UCL122114,40,12,0,0,167
UCL122115,17,8,9,3,112
UCL122116,33,14,9,0,150
UCL122117,20,34,11,3,113
UCL122118,9,0,0,0,62
UCL122119,39,20,11,3,211
UCL122120,31,15,0,0,173
UCL122121,30,42,9,0,147
UCL122122,26,22,8,0,107
UCL122123,39,25,15,0,156
UCL122124,33,45,10,0,176
UCL122125,45,14,11,3,193
UCL122126,38,20,13,0,205
UCL122127,19,6,0,0,122
UCL122128,43,49,7,3,209
UCL122129,40,25,3,0,203
UCL122130,22,10,3,3,109
UCL122131,38,27,13,3,252
UCL122132,13,17,6,3,74
UCL122133,18,9,4,0,127
UCL122134,42,45,11,3,130
UCL122135,57,30,8,4,184
UCL122136,20,29,14,8,153
UCL122137,20,13,3,0,87
UCL122138,26,38,6,0,141
UCL122139,30,19,4,0,113
UCL122140,45,17,3,3,263
UCL122141,33,22,8,8,149
UCL122142,42,29,6,3,142
UCL122143,43,29,4,0,209
UCL122144,17,10,19,3,89
UCL122145,3,0,0,0,31
UCL122146,26,26,13,5,139
UCL122147,37,26,15,12,179
UCL122148,28,20,7,0,102
UCL122149,25,16,4,8,96
UCL122150,46,13,12,0,181
UCL122151,18,19,9,0,103
UCL122152,24,24,3,4,98
UCL122153,43,27,9,5,187
UCL122154,26,14,13,3,104
UCL122155,23,22,19,8,138
UCL122156,20,19,18,4,109
UCL122157,26,13,7,0,89
UCL122158,44,22,6,3,245
UCL122159,14,14,12,0,113
UCL122160,44,32,17,6,233
UCL122161,34,26,9,3,180
UCL122162,27,28,11,3,143
UCL122163,38,24,4,0,112
UCL122164,53,50,14,0,190
UCL122165,43,29,10,4,198
UCL122166,83,32,5,3,254
UCL122167,30,11,3,0,213
UCL122168,24,14,6,7,99
UCL131777,58874,38508,13290,3381,274729
UCL179997,43,60,25,3,212
UCL199994,1142,722,150,41,7741
UCL201001,265276,164993,82466,36526,2115997
UCL203001,10957,7245,4013,2033,75861
UCL211001,2423,1553,648,225,16117
UCL211002,6450,4589,2452,947,44154
UCL211003,6629,4509,2430,1188,43200
UCL211004,2878,1753,595,168,21781
UCL212001,2060,1477,836,370,14194
UCL212002,2802,1848,985,458,19162
UCL212003,2497,1387,604,234,15872
UCL212004,1803,1147,675,284,12022
UCL212005,2284,1528,848,398,14242
UCL213001,1134,777,327,130,7626
UCL213002,954,851,548,302,6055
UCL213003,809,553,338,161,4900
UCL213004,812,690,346,123,5396
UCL213005,1097,854,537,184,6103
UCL213006,904,718,457,213,5798
UCL213007,1126,708,384,193,6838
UCL213008,827,500,210,72,5992
UCL213009,766,614,307,99,5551
UCL213010,1171,859,514,207,6661
UCL213011,938,698,424,152,5730
UCL213012,1850,1380,482,188,9610
UCL213013,812,526,280,127,4389
UCL213014,1003,667,382,178,6340
UCL213015,636,463,268,133,4562
UCL213016,1376,987,376,129,8955
UCL213017,1381,971,641,427,8560
UCL213018,1125,935,465,162,6826
UCL214001,479,403,199,85,2854
UCL214002,745,640,391,190,4204
UCL214003,1006,813,467,210,5685
UCL214004,305,298,199,61,2107
UCL214005,69,79,23,4,421
UCL214006,659,516,215,110,4823
UCL214007,682,531,302,162,3984
UCL214008,717,533,266,97,4012
UCL214009,481,558,267,97,2661
UCL214010,422,342,196,59,3108
UCL214011,412,341,221,116,2601
UCL214012,590,574,283,137,2874
UCL214013,338,335,167,69,2215
UCL214014,491,522,309,135,3061
UCL214015,842,858,360,167,3592
UCL214016,443,318,187,112,2575
UCL214017,391,348,194,77,2349
UCL214018,532,273,88,18,3635
UCL214019,577,519,344,150,3386
UCL214020,609,588,372,170,3624
UCL215001,187,120,65,13,702
UCL215002,211,196,104,47,1150
UCL215003,307,305,119,47,1515
UCL215004,149,124,47,18,735
UCL215005,186,132,66,39,1072
UCL215006,270,205,123,33,1329
UCL215007,252,171,71,18,2231
UCL215008,128,53,17,4,886
UCL215009,71,57,21,3,313
UCL215010,206,132,62,21,1123
UCL215011,81,95,60,37,455
UCL215012,360,287,156,63,1691
UCL215013,60,28,7,0,768
UCL215014,66,51,25,3,526
UCL215015,235,226,101,56,1211
UCL215016,265,143,63,32,1577
UCL215017,130,105,44,22,902
UCL215018,210,208,131,47,1292
UCL215019,151,108,39,6,863
UCL215020,84,95,68,32,547
UCL215021,121,91,33,8,585
UCL215022,349,260,87,24,2092
UCL215023,86,78,48,23,604
UCL215024,119,139,90,23,722
UCL215025,86,72,53,25,544
UCL215026,454,511,257,167,2452
UCL215027,247,216,139,69,1386
UCL215028,402,286,137,52,1839
UCL215029,150,74,19,3,1028
UCL215030,129,78,53,36,598
UCL215031,106,104,66,45,604
UCL215032,224,205,135,94,1290
UCL215033,95,42,0,0,1212
UCL215034,101,119,56,55,536
UCL215035,82,71,22,3,559
UCL215036,86,46,19,3,540
UCL215037,170,152,102,31,797
UCL215038,85,69,60,30,578
UCL215039,100,67,28,16,495
UCL215040,270,219,144,55,1538
UCL215041,89,78,53,28,922
UCL215042,120,76,32,12,735
UCL215043,245,212,111,53,1582
UCL215044,370,317,191,87,2399
UCL215045,146,70,20,11,694
UCL215046,73,56,15,5,465
UCL215047,95,48,32,3,622
UCL215048,136,116,54,27,600
UCL215049,323,251,86,16,1567
UCL215050,285,237,152,57,1897
UCL215051,209,169,60,26,734
UCL215052,273,211,114,53,1667
UCL215053,140,102,64,28,811
UCL215054,116,77,26,4,647
UCL215055,153,118,51,20,844
UCL215056,80,73,42,21,463
UCL215057,191,191,86,18,937
UCL215058,220,150,97,59,1187
UCL215059,148,109,54,27,751
UCL215060,96,83,65,31,606
UCL215061,121,74,67,26,705
UCL215062,261,245,144,53,1540
UCL215063,137,184,90,37,822
UCL215064,85,70,41,19,450
UCL215065,352,475,232,87,1788
UCL215066,490,601,311,100,2285
UCL215067,336,286,129,73,1597
UCL215068,198,152,92,56,1191
UCL215069,300,169,57,10,1576
UCL215070,133,85,45,33,772
UCL215071,196,156,120,68,1101
UCL215072,307,176,53,24,1769
UCL215073,108,59,31,10,589
UCL215074,222,147,78,42,1031
UCL215075,132,112,73,33,636
UCL215076,122,58,17,0,820
UCL215077,133,116,82,35,767
UCL215078,158,115,54,11,852
UCL215079,282,219,115,46,1790
UCL215080,162,113,81,36,863
UCL215081,70,48,39,26,501
UCL215082,64,45,25,7,480
UCL215083,270,196,118,43,1648
UCL215084,140,84,21,0,780
UCL215085,227,165,52,14,1012
UCL215086,186,141,84,77,1007
UCL215087,230,202,97,51,1734
UCL215088,134,94,46,28,705
UCL215089,199,87,29,3,821
UCL215090,347,282,124,63,2045
UCL215091,260,177,42,9,1799
UCL215092,95,54,29,15,532
UCL215093,127,114,45,5,1053
UCL215094,204,171,68,27,1316
UCL215095,94,78,30,6,530
UCL215096,139,119,80,41,728
UCL215097,113,88,56,15,543
UCL221001,34,17,8,3,304
UCL221002,83,55,23,9,412
UCL221003,83,64,40,18,396
UCL221004,41,24,3,4,258
UCL221005,79,30,13,0,371
UCL221006,33,44,22,11,306
UCL221007,46,42,8,0,263
UCL221008,60,48,10,5,272
UCL221009,68,53,24,31,316
UCL221010,65,24,8,3,272
UCL221011,53,40,15,4,262
UCL221012,45,41,11,3,295
UCL221013,46,13,0,0,214
UCL221014,40,27,13,0,301
UCL221015,101,98,40,8,483
UCL221016,39,18,14,0,250
UCL221017,83,46,17,7,355
UCL221018,104,45,39,30,423
UCL221019,162,120,57,13,685
UCL221020,77,55,36,28,380
UCL221021,72,96,28,4,345
UCL221022,85,81,42,15,378
UCL221023,56,27,12,15,278
UCL221024,62,61,36,4,273
UCL221025,113,96,37,15,435
UCL221026,101,68,29,7,469
UCL221027,55,65,39,33,333
UCL221028,71,73,37,26,386
UCL221029,44,41,35,8,272
UCL221030,104,111,48,9,395
UCL221031,53,21,5,0,300
UCL221032,89,106,36,4,438
UCL221033,63,44,4,4,309
UCL221034,60,36,24,0,264
UCL221035,48,33,27,29,245
UCL221036,37,22,9,0,298
UCL221037,55,47,31,11,288
UCL221038,62,42,12,0,372
UCL221039,38,27,18,5,238
UCL221040,119,66,11,4,612
UCL221041,74,37,12,0,413
UCL221042,82,57,23,11,395
UCL221043,72,79,29,4,320
UCL221044,46,20,5,0,248
UCL221045,95,124,65,13,404
