UCL_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL315064,28,17,44,121,105,225,6,11,21,20,33,51,153,152,297,73,69,137,13,25,40,18,16,38,107,107,211,3,3,7,0,5,5,10,5,14,6,10,16,0,0,0,23,24,46,13,24,37,10,16,21,0,3,4,3,23,26,0,0,0,30,65,95,3,5,7,9,9,18,0,0,0,8,12,20,98,84,185,436,457,899
UCL315065,16,6,22,90,81,172,8,8,9,3,0,6,105,85,187,54,45,99,13,7,21,11,3,12,79,53,133,3,3,3,3,10,7,0,3,3,0,3,9,0,0,0,7,22,21,0,5,5,4,6,16,0,4,4,4,13,16,0,0,0,10,34,45,5,3,5,9,4,15,0,0,0,12,10,20,125,141,261,342,347,692
UCL315066,12,8,15,59,51,107,14,24,38,0,0,0,68,78,149,41,41,87,3,3,6,0,0,0,45,42,89,0,3,5,0,4,6,0,0,4,3,7,11,0,0,0,10,16,22,0,0,3,0,3,3,0,0,3,3,5,11,0,0,0,8,14,20,0,0,0,0,4,9,0,0,0,0,4,9,115,158,276,255,320,575
UCL315067,6,7,17,67,80,153,3,3,5,0,0,3,76,83,158,57,71,131,4,0,9,3,0,6,67,78,145,0,0,0,0,0,0,3,10,7,0,19,15,0,0,0,4,23,33,3,3,3,3,5,8,0,0,5,3,15,14,0,0,0,6,22,29,4,0,7,3,9,10,0,0,0,4,10,16,135,123,255,297,352,650
UCL315068,9,4,10,99,64,158,0,0,0,3,0,3,102,64,165,37,36,68,0,0,0,3,0,3,38,39,71,0,0,0,0,0,0,7,3,8,7,3,10,0,0,0,12,6,22,0,0,0,0,4,3,0,0,3,5,17,15,0,0,0,9,22,27,0,0,0,3,4,6,0,0,0,3,8,5,111,69,183,271,209,483
UCL315069,7,4,8,29,30,61,22,12,34,0,0,0,53,42,95,10,16,26,21,14,39,0,7,3,29,37,68,0,0,0,0,0,0,4,3,9,10,5,12,0,0,0,12,10,19,0,8,8,0,3,3,0,3,3,0,0,0,0,0,0,4,9,15,0,3,3,0,3,4,0,0,0,4,6,4,90,62,148,195,169,366
UCL315070,7,3,8,48,50,97,0,0,0,0,0,3,55,48,99,24,32,50,0,0,0,0,0,0,25,32,56,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,4,0,3,3,4,5,6,0,0,0,3,10,8,68,63,134,160,160,318
UCL315071,5,14,22,80,67,141,13,19,34,0,0,0,91,86,178,45,50,90,6,3,14,4,0,8,54,49,105,0,3,3,0,5,5,0,4,6,4,9,18,0,0,0,9,17,24,0,0,0,4,6,7,0,3,4,3,14,19,0,0,0,9,25,36,0,0,0,0,0,4,0,0,0,0,0,4,105,114,222,285,308,588
UCL315072,9,11,20,122,124,241,19,21,42,3,3,11,150,148,296,92,77,170,5,5,9,0,0,7,99,87,182,3,0,3,3,0,6,3,6,11,8,15,20,3,0,3,20,26,42,0,0,3,0,4,10,0,0,0,0,19,20,0,0,0,3,28,34,4,3,3,8,5,13,0,0,0,10,5,16,268,142,407,557,443,997
UCL315073,8,7,15,24,29,50,0,0,0,0,3,3,24,32,53,14,13,20,4,8,8,10,7,12,19,23,43,0,0,0,0,0,0,3,0,3,0,5,3,0,0,0,3,6,7,0,0,0,5,3,9,0,0,0,3,13,16,0,0,0,5,14,24,0,0,0,4,3,3,0,0,0,4,4,5,105,98,199,167,179,347
UCL315074,17,26,45,153,138,290,38,41,74,9,12,24,200,191,386,125,120,243,17,10,23,11,9,15,151,131,282,3,4,9,0,4,3,11,3,15,9,17,24,0,0,0,25,29,57,6,13,20,5,6,15,0,4,4,4,14,19,0,0,0,20,30,54,0,3,6,15,21,34,0,0,0,18,26,42,189,159,344,621,590,1211
UCL315075,14,15,33,111,102,219,67,57,118,4,0,4,184,157,345,44,44,91,12,15,30,4,4,6,60,68,128,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,4,3,11,0,3,3,0,0,4,0,0,0,0,5,5,0,0,0,0,7,12,0,3,3,0,3,3,0,0,0,0,7,8,58,46,102,328,305,632
UCL315076,21,31,53,184,169,350,11,23,30,37,47,80,227,232,460,107,70,176,29,14,37,48,57,101,178,139,316,0,0,3,3,9,11,3,10,10,7,12,23,0,0,0,18,29,51,19,24,39,15,21,31,6,5,8,5,46,54,0,0,0,37,101,137,0,6,7,3,14,20,0,0,0,6,25,28,100,93,189,593,649,1237
UCL315077,14,24,36,89,97,185,29,44,69,4,3,9,125,135,258,79,77,152,8,12,17,9,7,12,94,96,186,0,0,0,0,3,3,7,6,8,5,8,15,0,0,0,12,18,32,5,4,16,0,14,14,0,11,11,4,15,21,0,0,0,12,37,49,3,0,6,6,3,9,0,0,0,4,9,11,164,212,377,435,527,960
UCL315078,7,15,24,75,65,141,3,0,3,4,10,15,91,73,155,55,21,78,3,8,8,4,5,11,62,33,100,4,0,4,0,0,0,3,3,3,3,17,19,0,0,0,9,23,31,5,11,14,3,12,9,0,0,3,0,20,21,0,0,0,9,32,40,3,3,6,5,8,13,0,0,0,5,9,19,68,66,129,247,252,506
UCL315079,18,21,35,109,85,192,18,22,40,3,0,0,132,107,234,41,43,82,5,3,11,0,3,6,46,54,101,0,3,3,3,3,12,0,4,4,12,10,22,0,0,0,21,20,42,3,13,17,7,18,22,0,0,0,7,14,22,0,0,0,19,43,63,3,4,7,6,15,23,0,0,3,10,18,28,325,371,700,572,632,1200
UCL315080,19,15,33,114,100,216,31,45,81,0,0,0,146,144,291,98,88,185,34,25,58,0,3,3,127,116,248,0,3,3,0,0,4,10,3,19,8,15,28,0,0,3,24,30,54,0,0,3,0,3,3,0,8,8,3,13,17,0,0,0,3,23,29,0,0,3,3,12,12,0,0,0,3,11,15,207,190,396,532,534,1064
UCL315081,0,3,4,45,27,74,0,0,0,0,3,3,42,27,76,18,22,43,8,3,12,4,9,14,36,35,67,3,0,3,0,3,3,0,0,0,3,3,3,0,0,0,9,6,9,3,0,3,0,3,6,0,0,0,0,3,9,0,0,0,9,10,16,0,0,0,0,3,4,0,0,0,0,3,6,97,69,169,192,157,347
UCL315082,3,0,6,27,12,31,16,19,32,4,0,4,45,29,72,12,19,29,18,33,57,3,8,9,34,58,93,0,0,0,0,0,0,4,0,5,3,3,9,0,0,0,8,3,13,11,21,26,3,3,4,3,4,4,3,4,12,0,0,0,20,27,48,0,0,0,0,0,4,0,0,0,0,0,4,29,16,48,139,140,276
UCL315083,7,9,15,50,37,84,8,9,16,3,5,8,65,46,109,27,33,53,3,0,3,3,8,8,34,40,71,0,0,3,0,3,3,0,3,4,6,8,12,0,0,0,10,19,23,4,3,6,0,8,8,0,3,4,3,13,15,0,0,0,5,30,36,0,4,4,4,4,14,0,0,0,4,11,13,48,47,93,165,199,360
UCL315084,5,9,17,72,87,167,18,16,30,0,11,15,92,111,204,59,71,130,8,3,8,13,19,34,80,91,169,0,5,8,0,7,7,6,6,9,3,11,14,0,0,0,14,24,37,3,6,9,6,9,8,0,3,6,0,15,15,0,0,0,9,32,39,0,3,3,4,12,13,0,0,0,4,11,17,103,99,200,312,380,694
UCL315085,12,6,11,70,76,151,0,0,0,11,5,11,78,83,165,55,41,98,0,0,0,8,9,14,67,53,120,3,8,13,0,12,11,0,0,0,5,16,26,0,0,0,14,34,46,4,3,4,5,6,8,0,0,0,8,12,18,0,3,3,14,24,39,3,8,9,6,4,13,0,0,0,11,19,23,121,97,218,313,308,616
UCL315086,19,11,33,94,99,195,21,15,34,6,17,25,119,129,251,49,36,84,24,29,57,29,34,62,105,97,202,4,0,10,0,3,0,5,7,10,0,12,9,0,0,0,9,18,33,45,54,94,0,6,8,6,3,5,8,9,12,0,0,4,58,69,128,5,0,7,3,7,13,0,0,0,8,10,15,62,43,100,376,385,762
UCL315087,24,10,41,126,102,234,34,34,61,0,3,3,157,140,297,89,86,175,11,14,25,0,3,8,102,103,207,0,0,0,6,3,7,9,9,16,4,16,19,0,0,0,12,25,39,3,6,6,3,5,9,0,8,8,4,17,19,0,0,0,7,36,42,4,5,3,6,14,20,0,0,0,8,17,25,200,162,356,514,494,1012
UCL315088,10,19,31,75,48,116,64,55,118,0,0,0,134,106,240,50,66,121,0,4,4,4,3,7,56,74,131,3,3,3,0,0,0,6,0,8,4,6,16,0,0,0,14,11,27,0,3,7,0,3,8,0,3,3,9,11,18,0,0,0,13,23,32,0,3,8,3,3,4,0,0,0,3,11,12,100,101,202,333,343,681
UCL315089,22,19,47,155,124,279,57,52,109,8,8,12,222,187,402,109,100,210,35,27,60,4,0,6,144,132,280,3,3,3,0,6,11,5,7,12,3,18,19,0,0,0,14,34,51,9,12,17,3,10,9,0,5,5,6,18,21,0,0,0,12,42,56,4,8,9,5,20,23,0,0,0,14,21,34,179,182,360,612,619,1227
UCL315090,26,50,77,137,108,244,33,19,53,0,3,3,169,124,297,120,118,240,5,3,3,9,15,26,135,142,275,3,0,7,3,10,7,5,0,5,9,12,27,0,0,0,21,28,46,0,0,4,0,8,10,0,0,0,9,39,45,0,0,0,15,49,62,0,0,0,3,3,8,0,0,0,4,3,8,229,246,475,600,638,1239
UCL315091,11,7,21,80,81,165,0,4,3,3,4,8,87,85,173,22,17,39,6,8,18,3,3,4,36,33,63,0,0,0,0,0,0,3,4,6,5,10,11,0,0,0,9,13,20,0,3,4,0,4,4,5,0,5,8,5,13,0,0,0,14,9,24,0,0,0,3,3,3,0,0,0,3,3,3,119,42,162,273,195,466
UCL315092,6,7,17,40,38,86,3,0,3,5,3,12,55,47,99,30,24,54,8,7,14,8,0,7,43,31,74,0,0,0,0,0,3,0,3,3,0,14,14,0,0,0,0,14,21,0,3,3,0,3,4,0,0,0,0,8,10,0,0,0,3,14,20,0,0,0,5,6,13,0,0,0,7,6,12,136,124,259,252,245,499
UCL315093,6,3,8,36,31,67,0,0,0,0,0,3,33,34,69,27,19,54,0,3,3,3,0,3,31,27,56,0,0,0,0,6,3,0,3,3,3,3,3,0,0,0,3,7,15,0,4,3,0,0,0,0,0,0,0,5,3,0,0,0,4,9,8,0,0,0,0,3,4,0,0,0,0,0,4,36,36,74,110,112,226
UCL315094,14,12,26,94,81,173,4,4,10,16,10,25,113,96,206,33,45,79,6,9,9,15,10,21,53,61,109,3,3,3,3,5,3,4,4,5,3,15,19,0,0,0,11,22,30,0,7,5,0,10,11,0,0,0,3,15,21,0,0,0,5,38,43,0,0,0,0,12,13,0,0,0,3,17,21,52,70,124,256,306,563
UCL315095,8,11,20,72,50,119,15,16,31,0,0,0,85,63,155,53,61,112,4,3,9,0,0,4,63,65,129,0,3,3,0,3,3,3,0,4,0,3,3,0,0,0,4,15,19,0,0,3,0,5,5,0,0,3,3,9,13,0,0,0,10,18,24,3,3,4,0,0,0,0,0,0,3,3,4,106,110,215,275,284,565
UCL315096,16,16,31,97,90,194,44,45,87,0,6,10,148,136,285,54,62,120,44,36,83,6,3,9,104,104,208,3,4,3,0,4,3,8,3,11,3,17,22,0,0,0,15,25,39,11,14,22,4,3,9,3,6,6,11,24,40,0,0,0,21,51,72,0,0,0,3,8,19,0,0,0,3,8,19,167,130,301,477,476,955
UCL315097,5,3,10,38,25,64,6,5,11,4,8,13,54,40,89,29,11,42,11,5,16,6,11,17,43,30,74,0,0,0,0,3,3,3,6,8,0,5,5,0,0,0,4,13,21,11,16,24,0,3,3,4,0,4,0,3,8,0,0,0,14,27,42,0,0,4,3,3,5,0,0,0,3,3,6,47,36,84,170,155,326
UCL315098,25,29,55,167,158,323,42,37,79,4,8,8,214,201,413,110,133,244,5,4,10,10,10,22,126,147,269,0,0,3,0,5,5,11,3,10,9,19,24,0,0,0,17,27,46,3,0,5,3,15,19,0,6,6,16,28,46,0,0,0,23,53,78,4,3,4,5,7,6,0,0,0,9,7,11,225,190,412,634,653,1290
UCL315099,34,37,78,150,153,301,36,47,80,16,41,56,205,236,445,77,57,137,49,62,108,19,33,52,146,144,295,3,4,9,0,4,3,9,5,16,8,17,25,0,0,0,21,30,52,13,20,38,5,6,10,8,12,23,12,22,28,0,0,0,42,53,97,3,3,5,10,16,23,0,0,0,13,23,35,105,91,200,573,620,1193
UCL315100,6,11,12,43,42,81,7,11,17,3,10,8,48,61,111,29,30,62,14,5,19,3,3,7,47,44,85,0,5,3,3,3,3,0,0,0,0,3,3,0,0,0,3,7,15,0,9,10,0,0,0,0,0,3,0,10,8,0,0,0,6,22,28,0,0,0,0,4,3,0,0,0,0,4,3,48,36,82,157,175,339
UCL315101,8,13,13,64,49,114,14,8,18,7,9,17,87,71,159,47,42,95,11,16,28,12,19,25,73,73,142,0,0,0,0,3,3,4,3,6,3,7,14,0,0,0,12,15,25,3,8,11,0,0,0,0,4,4,6,13,21,0,0,0,18,27,40,4,0,3,3,7,12,0,0,0,8,14,13,42,58,98,232,259,490
UCL315102,16,5,24,51,46,97,11,4,17,5,5,13,65,54,126,32,42,74,6,5,13,3,0,5,44,48,97,0,0,0,0,3,8,4,0,3,3,4,11,0,0,0,8,11,19,0,0,0,0,0,0,0,0,0,3,9,11,0,0,0,7,13,13,0,0,0,3,3,10,0,0,0,3,7,7,88,94,187,231,243,472
UCL315103,9,5,6,34,27,64,4,0,6,0,0,0,40,32,70,31,28,59,3,10,14,0,0,0,35,35,74,0,0,0,0,4,4,4,0,4,0,0,0,0,0,0,6,3,12,0,3,3,3,0,3,0,0,0,8,3,10,0,0,0,9,7,14,0,0,0,0,4,3,0,0,0,0,4,7,101,95,196,204,170,374
UCL315104,14,4,14,72,58,127,3,3,7,8,12,13,81,66,151,47,64,104,5,8,14,0,10,13,56,77,128,0,4,4,0,8,8,0,0,3,3,9,12,0,0,0,9,13,23,3,4,12,0,3,3,0,0,0,0,7,5,0,0,0,3,16,20,3,0,4,0,11,11,0,0,3,7,10,12,1040,95,1127,1204,280,1482
UCL315105,4,4,7,15,11,26,0,3,3,0,3,3,15,17,38,14,16,30,0,0,0,3,0,3,13,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,3,3,0,3,3,0,3,4,0,0,0,3,6,12,0,0,0,3,0,3,0,0,0,3,0,3,52,53,103,91,102,192
UCL315106,20,13,32,64,74,138,6,11,22,3,7,12,73,101,171,17,36,55,6,5,11,9,5,14,34,45,80,3,0,3,0,3,4,4,3,8,8,14,19,0,0,0,14,20,35,4,11,16,0,6,6,0,3,4,4,9,11,0,0,0,9,22,31,0,0,0,0,8,8,0,0,0,0,9,9,66,48,117,212,263,473
UCL315107,10,13,23,62,64,128,3,9,5,6,0,9,72,70,145,36,50,88,8,6,12,5,3,7,50,63,110,0,3,3,4,6,7,3,4,8,3,11,14,0,0,0,10,20,31,5,12,17,5,8,12,0,0,0,3,8,6,0,0,0,14,23,35,0,0,0,3,3,7,0,0,0,3,3,5,92,65,154,250,262,507
UCL315108,24,19,47,218,175,390,7,8,13,5,15,14,229,190,423,89,117,204,4,0,7,8,6,17,104,122,229,0,0,4,0,7,6,0,3,3,3,3,3,0,0,0,3,13,21,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,10,10,3,0,3,4,3,6,0,0,0,7,3,10,68,79,144,432,442,874
UCL315109,52,51,99,177,182,355,24,21,39,25,23,49,222,225,451,66,58,123,16,29,50,17,13,27,100,99,198,6,13,23,4,14,21,11,17,27,8,24,30,0,0,0,28,74,103,19,29,47,8,9,17,0,9,5,17,22,44,0,0,0,43,67,110,3,6,9,6,19,24,0,0,0,7,27,32,185,181,359,637,724,1360
UCL315110,4,7,10,53,33,90,5,3,5,0,0,3,56,42,99,26,24,52,0,3,4,0,0,0,32,27,57,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,11,0,3,4,0,3,3,0,0,0,3,6,11,0,0,0,6,12,14,0,0,0,3,0,3,0,0,0,3,4,3,27,27,58,129,114,246
UCL321001,3,3,6,31,26,52,0,3,3,10,11,20,41,35,77,4,9,12,0,0,0,13,13,26,20,23,42,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,3,6,9,0,3,3,0,4,4,0,0,0,3,5,11,0,0,0,3,13,18,0,0,0,0,4,3,0,0,0,0,6,6,47,48,91,117,135,249
UCL321002,0,0,3,14,20,38,0,0,0,5,7,16,18,32,49,13,7,21,0,3,8,3,3,7,18,16,30,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,8,0,0,3,0,5,5,0,0,0,0,4,4,0,0,0,0,8,12,0,3,3,0,3,3,0,0,0,0,3,5,20,19,35,65,79,137
UCL321003,5,3,7,27,20,45,4,10,12,0,5,3,32,27,59,13,16,35,4,3,11,0,0,3,22,23,45,0,3,4,0,0,3,0,3,3,0,0,0,0,0,0,3,9,6,3,0,3,0,0,0,0,0,0,0,3,7,0,0,0,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,37,29,61,96,97,191
UCL321004,0,3,4,18,16,31,0,5,4,0,0,0,15,19,43,15,14,29,0,0,0,0,0,0,20,14,30,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,3,5,0,0,0,0,3,5,12,12,25,54,66,122
UCL321005,3,7,8,27,18,52,11,9,16,0,0,0,36,28,68,10,17,31,0,4,6,0,0,6,18,21,38,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,3,0,8,0,3,3,0,0,0,3,0,3,0,4,5,0,0,0,4,11,15,0,0,0,0,4,4,0,0,0,0,7,8,56,43,99,124,120,246
UCL321006,3,3,8,28,32,64,8,9,10,0,0,0,33,44,74,27,16,47,6,3,12,0,0,0,36,22,58,4,0,6,0,0,0,0,5,5,4,3,5,0,0,0,5,7,16,0,3,3,0,7,7,0,0,0,0,3,5,0,0,0,0,8,13,0,5,3,5,3,9,0,0,0,5,6,11,35,42,78,118,131,250
UCL321007,6,3,5,91,95,181,0,0,0,0,0,3,92,92,184,8,10,19,0,0,3,0,0,0,16,8,23,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,0,3,4,12,14,29,128,136,259
UCL321008,7,13,13,38,34,68,10,14,25,0,3,3,47,46,99,16,24,34,9,12,16,0,7,5,23,34,60,0,0,0,0,0,0,3,3,6,3,10,10,0,0,0,3,13,15,3,6,5,3,3,6,3,0,3,3,7,6,0,0,0,14,13,23,0,3,3,3,3,4,0,0,0,3,3,9,72,59,138,170,186,360
UCL321009,0,4,5,20,39,67,0,3,3,0,0,0,20,44,72,9,16,27,3,3,3,0,0,0,12,18,34,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,4,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,7,8,0,0,0,0,9,9,49,50,105,96,138,235
UCL321010,7,12,18,63,46,110,9,9,18,0,0,0,71,55,122,22,37,61,0,0,0,0,0,0,24,37,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,4,6,6,0,7,7,9,11,0,0,0,13,15,27,0,0,0,6,10,11,0,0,0,6,10,11,63,70,125,185,187,371
UCL321011,0,3,3,19,12,36,0,0,0,6,0,6,19,12,39,9,10,22,3,0,3,4,4,10,16,15,31,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,5,7,12,3,0,10,0,0,0,0,0,0,0,4,5,0,0,0,8,7,15,0,0,0,3,3,7,0,0,0,3,3,7,24,24,49,76,70,149
UCL321012,3,10,11,33,31,70,15,3,16,0,0,0,53,40,91,21,13,34,12,14,28,0,0,0,31,22,55,0,0,0,5,3,7,0,0,5,8,3,10,0,0,0,8,8,19,0,3,3,3,0,5,0,0,0,0,3,3,0,0,0,3,11,11,0,0,0,0,0,0,0,0,0,0,0,3,50,34,90,154,121,271
UCL321013,5,3,6,46,34,76,13,8,22,3,4,7,58,49,111,47,38,80,0,5,3,0,0,3,45,42,90,0,0,0,0,0,0,4,0,7,0,6,6,0,0,0,3,9,11,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,3,5,13,0,0,0,0,0,0,0,0,0,0,0,0,40,26,69,156,137,289
UCL321014,3,3,3,14,23,37,0,0,0,5,3,9,21,25,46,13,17,27,0,0,0,3,3,7,14,21,34,0,0,0,3,0,6,0,3,4,0,3,3,0,0,0,3,9,9,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,32,37,72,76,97,172
UCL321015,3,10,11,28,15,49,3,6,8,4,0,4,34,24,60,23,17,40,3,0,0,9,6,14,36,27,56,0,0,0,0,3,3,3,0,5,0,4,7,0,0,0,0,8,10,0,4,4,0,4,4,0,0,0,0,0,3,0,0,0,0,10,11,0,0,0,0,4,3,0,0,0,0,3,3,25,17,40,102,91,190
UCL321016,6,8,15,12,19,28,12,24,40,3,3,3,33,45,77,12,10,18,16,15,29,9,3,12,36,21,62,0,0,0,0,0,0,3,0,5,0,3,8,0,0,0,8,4,14,3,3,8,3,5,4,0,3,3,0,9,9,0,0,0,9,16,29,0,3,3,3,4,4,0,0,0,3,8,8,39,33,72,130,136,268
UCL321017,11,6,18,24,33,57,12,10,26,0,0,0,42,44,86,24,16,34,0,0,3,0,0,0,27,19,40,0,0,3,0,0,0,0,0,3,0,3,3,0,0,0,4,3,5,0,0,0,0,3,3,0,0,0,5,3,9,0,0,0,5,11,11,0,0,0,0,4,3,0,0,0,0,6,6,31,44,76,116,124,239
UCL321018,3,0,3,29,28,52,0,0,0,0,0,0,29,28,52,13,11,27,0,0,0,0,0,0,13,10,30,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,4,18,32,52,69,85,149
UCL321019,3,3,5,14,14,19,22,23,37,12,9,21,37,41,84,8,12,19,28,17,41,21,10,29,61,37,93,0,0,0,0,3,3,0,3,3,3,4,5,0,0,0,3,6,10,0,8,7,0,3,0,0,4,4,4,11,13,3,0,3,8,20,31,0,0,0,3,3,3,0,0,0,3,3,3,26,29,48,140,138,272
UCL321020,4,6,12,37,34,71,6,6,13,0,0,0,42,40,84,13,6,24,3,4,12,3,0,3,24,17,35,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,3,3,10,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,7,9,0,0,0,0,3,5,0,0,0,0,3,5,29,19,52,113,94,200
UCL321021,11,9,15,22,44,70,18,6,26,3,3,7,41,51,95,20,9,34,13,5,19,5,4,12,43,19,63,0,0,0,4,0,4,0,3,5,0,5,9,0,0,0,3,8,15,4,8,17,0,6,8,0,4,4,5,6,7,0,0,0,12,23,30,0,0,3,0,4,6,0,0,0,3,4,7,35,25,54,145,137,287
UCL321022,12,0,12,16,22,39,5,7,17,5,3,10,33,35,67,17,22,42,0,3,0,10,10,17,26,35,66,0,0,0,0,0,4,0,3,4,4,3,6,0,0,0,5,8,13,0,3,5,0,0,0,0,3,0,0,3,3,0,0,0,4,10,11,0,0,0,0,0,0,0,0,0,0,0,0,38,24,66,117,116,233
UCL321023,3,3,4,22,28,55,3,7,17,0,3,3,28,41,76,13,9,23,3,9,6,0,3,4,20,15,34,0,0,0,0,0,3,3,3,4,0,0,0,0,0,0,3,6,7,3,3,9,0,4,4,0,0,3,0,6,6,0,0,0,5,16,20,0,0,0,0,0,0,0,0,0,3,0,4,21,25,45,83,111,197
UCL321024,0,10,8,34,33,69,4,0,4,3,3,3,37,33,73,16,30,49,0,0,3,6,0,8,27,34,54,0,3,3,0,0,0,0,4,4,3,3,6,0,0,0,0,11,11,0,3,3,0,0,3,0,0,0,0,0,4,0,0,0,4,9,13,0,0,0,0,0,0,0,0,0,0,0,0,26,22,53,103,119,224
UCL321025,0,3,5,25,20,42,3,3,3,3,0,3,26,19,52,11,8,20,13,13,24,0,0,0,27,22,45,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,5,0,0,3,0,3,3,3,0,3,0,3,0,0,0,0,3,5,11,0,0,4,0,0,0,0,0,0,3,0,3,25,26,51,84,82,169
UCL321026,0,3,3,13,8,26,3,6,13,0,0,0,22,17,38,10,9,20,3,3,8,0,0,0,16,13,31,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,7,9,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,6,6,0,0,0,0,3,3,0,0,0,0,3,3,30,26,52,66,78,144
