UCL_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL321092,94,69,22,10,3,195,0,201
UCL321093,3,42,114,29,13,198,0,195
UCL321094,13,83,84,22,13,210,23,231
UCL321095,35,145,102,21,11,319,23,338
UCL321096,14,63,63,33,10,187,14,198
UCL321097,17,122,92,25,13,275,19,291
UCL321098,4,83,124,37,22,273,3,274
UCL321099,11,111,84,19,7,238,15,255
UCL321100,6,45,99,47,28,226,12,235
UCL321101,0,73,96,36,10,219,3,226
UCL321102,6,119,147,38,10,320,14,338
UCL321103,3,95,118,45,24,295,3,297
UCL321104,6,47,122,63,49,285,5,287
UCL321105,27,128,92,21,17,284,14,292
UCL321106,10,67,88,21,8,196,13,208
UCL321107,23,119,123,21,16,298,18,309
UCL321108,0,34,87,48,44,217,5,219
UCL321109,4,82,144,69,41,341,9,351
UCL321110,0,96,215,99,38,449,9,459
UCL321111,21,146,140,43,19,374,14,386
UCL321112,11,118,102,38,16,292,20,306
UCL321113,11,74,91,32,5,209,15,217
UCL321114,33,136,119,36,13,344,30,368
UCL321115,0,128,147,42,27,354,9,357
UCL321116,9,132,97,33,12,291,11,303
UCL321117,119,78,28,3,0,233,12,245
UCL321118,4,64,98,36,26,229,7,231
UCL321119,23,174,109,24,12,343,17,360
UCL322001,0,34,63,29,5,129,4,137
UCL322002,5,36,49,24,19,125,6,133
UCL322003,3,36,29,16,4,89,13,104
UCL322004,3,65,50,19,5,144,10,154
UCL322005,12,43,38,9,9,104,4,114
UCL322006,3,46,69,26,16,167,4,170
UCL322007,21,64,32,0,3,120,8,130
UCL322008,20,48,49,26,16,160,13,170
UCL322009,6,38,31,18,7,103,15,112
UCL322010,0,61,54,18,8,138,7,149
UCL322011,4,61,32,13,16,125,13,133
UCL322012,4,27,54,22,3,108,6,112
UCL322013,4,51,64,25,11,164,8,172
UCL322014,7,62,53,9,6,136,8,142
UCL322015,3,32,44,14,5,104,0,101
UCL322016,45,10,0,0,0,49,3,55
UCL322017,3,69,70,21,6,173,4,180
UCL322018,3,69,49,11,6,138,9,149
UCL322019,17,29,18,9,11,89,11,97
UCL322020,0,23,28,10,4,67,3,69
