SED_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED55305,2804,1633,909,754,27892
SED55401,2591,1651,760,251,13892
SED55504,2605,1565,669,217,21115
SED55605,2825,1535,680,221,27003
SED55706,3852,2818,1171,347,19143
SED55802,2617,1261,600,246,25188
SED55905,2654,1570,991,469,18444
SED59494,633,368,58,13,3820
SED59797,31,4,3,0,338
SED60101,933,640,270,75,4309
SED60106,2436,1794,1005,507,15418
SED60112,2100,1359,612,238,11774
SED60115,2151,1633,763,245,13728
SED60207,2438,1880,965,372,13839
SED60208,2512,1655,882,302,13582
SED60209,2586,1622,915,243,13579
SED60214,21,8,3,0,94
SED60302,545,328,236,44,3749
