SED_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED26005,22505,22449,44948,1792,1754,3548,278,253,533,8296,8249,16552,205,197,405,71,80,155,123,111,234,33,32,72,19,19,41,22,21,44,3,0,3,9060,8975,18037,2530,2842,5366,195,187,379,13581,13757,27333,1953,1899,3850,38032,38103,76130
SED26102,14573,15292,29865,2665,2935,5607,232,254,490,6586,7161,13745,222,239,464,39,54,88,89,99,189,34,41,80,42,38,87,15,28,43,0,0,0,7269,7912,15182,354,437,789,140,159,300,10427,11446,21872,2183,2466,4653,27187,29207,56394
SED26207,17333,18723,36059,1401,1472,2877,138,147,283,5422,5637,11055,135,153,286,60,44,105,73,55,127,24,18,41,36,23,61,20,24,46,0,0,0,5902,6108,12012,978,972,1953,109,92,198,8393,8645,17044,1527,1673,3196,27254,29047,56298
SED26303,14959,16536,31501,1116,1161,2272,474,635,1109,7210,8003,15212,357,450,805,129,182,314,161,201,364,70,97,174,33,45,79,107,116,220,3,0,3,8551,9728,18276,2019,2311,4325,214,250,468,11894,13457,25352,2064,2198,4258,28917,32193,61113
SED26406,14828,15983,30813,1183,1096,2279,317,332,652,7795,7635,15426,239,275,516,128,140,274,163,132,291,96,115,211,31,38,69,68,75,147,0,0,0,8832,8753,17579,6279,6727,13006,194,169,368,16486,16742,33234,1851,1874,3729,33166,34607,67772
SED26504,15462,15865,31326,3052,3302,6358,634,735,1370,3629,3921,7555,287,293,581,84,89,167,113,119,235,51,40,93,52,55,110,28,26,51,0,0,0,4878,5279,10160,342,408,757,119,141,253,8389,9138,17525,2465,2640,5103,26318,27635,53953
SED26603,17544,19109,36646,1655,1598,3248,383,395,778,7620,7755,15383,283,274,557,131,148,276,156,157,313,64,69,132,30,32,60,60,79,133,0,0,0,8725,8917,17647,3457,3100,6555,232,253,489,14073,13867,27937,2337,2447,4780,33947,35421,69367
SED26708,17397,17065,34455,2951,2970,5928,168,172,335,4558,4710,9264,171,184,349,90,82,175,91,89,176,51,48,103,49,48,92,3,7,10,0,0,0,5170,5336,10511,384,359,742,108,86,194,8615,8757,17366,2365,2369,4730,28369,28183,56560
SED26806,10319,11263,21588,1498,1464,2966,1049,1114,2167,9545,10175,19718,850,962,1809,294,371,669,464,533,994,179,178,354,48,49,92,186,194,381,0,0,0,12609,13577,26187,5431,6228,11654,310,288,594,19845,21552,41395,3776,3855,7635,33945,36677,70615
SED26903,16069,17523,33590,1324,1283,2608,294,309,599,6701,6690,13386,240,244,488,101,108,202,123,98,223,40,61,102,43,49,87,41,55,95,0,0,3,7580,7608,15190,3304,3167,6464,205,210,417,12416,12265,24686,2599,2708,5312,31085,32497,63585
