SED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SED30082,251,921,269,344,34,2196,262,140,1104,498,766,84,2861,9,5,32,19,64,6,137,20,4,69,114,421,18,644,16,3,53,53,188,72,389,1030,636,3884,2343,6137,506,14531
SED30083,242,972,274,356,36,2364,288,143,1192,554,848,95,3116,9,0,27,26,61,4,123,24,15,75,87,448,12,653,14,10,72,36,184,49,373,1225,595,4110,2223,5952,453,14552
SED30084,190,915,194,255,39,1967,352,181,1368,473,625,90,3085,14,11,63,49,85,18,238,16,7,78,107,397,13,617,21,8,65,50,190,68,409,1228,619,4707,2425,5953,563,15492
SED30085,105,592,151,215,24,1156,66,47,438,292,405,63,1318,0,0,10,17,27,4,57,3,6,22,46,305,16,402,3,3,33,41,239,96,413,251,248,2215,1787,5204,694,10400
SED30086,139,572,251,399,39,1527,133,87,669,630,979,111,2600,7,3,33,39,84,11,175,13,3,68,111,569,29,790,18,3,82,90,409,141,750,541,373,2784,2713,8189,832,15432
SED30087,173,819,237,355,37,1741,170,128,853,416,584,83,2236,3,0,30,35,80,16,168,13,7,57,135,711,34,958,6,4,93,93,385,109,689,558,504,3636,2871,9746,831,18142
SED30088,89,343,183,327,25,1075,109,53,519,500,882,93,2149,3,0,13,29,74,10,127,16,6,52,92,378,21,568,18,9,80,74,342,203,717,615,261,2243,2184,6293,773,12372
SED30089,372,1297,235,258,50,3148,569,215,1758,455,413,73,3480,43,21,137,54,79,7,347,57,22,172,113,304,13,684,53,18,184,87,154,67,557,2984,1241,8150,2728,4244,497,19842
SED39494,10,40,10,24,0,117,24,10,96,36,35,13,211,3,0,19,5,19,3,53,9,0,14,5,46,0,76,3,3,24,15,54,35,126,115,48,613,267,773,144,1957
SED39797,0,0,0,0,0,3,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,19,0,33
SED40001,156,750,159,108,19,1839,487,171,1444,302,226,77,2710,47,21,114,44,41,11,276,46,6,121,68,187,6,433,40,15,126,49,72,41,347,2526,768,6284,1901,2410,398,14278
SED40002,183,704,177,128,24,1560,335,149,1059,390,367,52,2343,17,3,75,32,77,11,211,32,16,86,71,231,17,453,17,8,92,47,85,48,301,1567,676,4544,1981,3102,387,12259
SED40003,187,667,171,91,24,1660,595,173,1375,281,176,80,2687,21,8,62,18,27,0,147,41,17,99,38,124,6,329,52,6,140,41,69,27,341,2303,768,5514,1600,1686,329,12194
SED40004,153,717,190,163,23,1595,246,120,920,392,449,88,2212,7,3,47,38,66,3,160,18,9,73,76,279,12,473,17,6,79,37,93,45,271,1038,530,3485,2027,3806,397,11281
SED40005,97,411,166,187,26,927,65,58,391,352,517,48,1437,0,0,3,11,18,3,35,3,4,29,45,300,11,389,4,0,20,24,110,67,231,199,229,1457,1400,4222,550,8065
SED40006,96,487,156,150,8,1038,170,99,810,400,551,77,2103,10,3,40,32,67,5,157,4,10,59,84,359,18,539,17,4,55,51,134,55,311,706,356,3157,1864,4332,476,10888
SED40007,127,654,198,112,19,1343,204,99,714,327,340,64,1746,13,6,60,44,59,10,183,19,11,70,57,304,24,491,12,7,64,64,96,42,282,970,445,3501,1866,3418,409,10614
SED40008,120,539,163,116,22,1215,174,101,818,332,344,60,1826,6,10,74,27,56,10,182,36,8,86,73,268,18,481,28,4,72,42,113,66,325,1022,493,3797,1676,3266,447,10702
SED40009,238,823,215,162,24,1929,361,196,1138,447,438,54,2635,9,11,51,47,49,0,172,32,23,91,89,255,13,503,32,11,78,39,90,34,283,1429,741,4170,2075,3428,318,12162
SED40010,178,777,171,91,30,1769,478,167,1310,279,254,54,2541,24,15,89,43,45,6,223,32,16,107,90,205,16,460,45,10,108,44,69,33,308,2151,795,5641,1808,2376,351,13126
SED40011,126,601,158,132,17,1283,268,149,984,384,480,83,2347,6,12,44,33,56,3,157,13,7,76,64,220,13,393,21,6,63,30,99,34,250,1073,466,3688,1738,3261,359,10580
SED40012,102,519,126,99,22,1067,243,128,930,362,416,65,2143,5,4,52,18,43,9,135,32,10,84,82,257,24,489,21,4,75,42,111,66,323,1158,410,3811,1761,3246,453,10827
SED40013,79,355,154,143,20,834,71,65,398,353,500,44,1430,10,0,28,22,32,12,101,9,5,27,43,244,11,344,7,9,31,39,108,34,226,308,250,1544,1384,3819,460,7764
SED40014,121,566,234,210,31,1331,135,99,831,525,683,66,2342,3,4,26,33,51,5,124,14,14,55,75,422,20,596,5,8,44,57,155,41,302,549,379,2730,2184,5103,368,11320
SED40015,97,504,138,203,19,1025,53,69,392,309,444,60,1322,0,0,13,12,32,8,55,10,0,26,39,336,15,428,7,4,29,32,121,63,249,197,247,1620,1228,4436,580,8305
