SED_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SED22802,87,211,150,85,154,70,19,778,16,6,3,3,12,5,0,34,5,6,4,0,5,3,3,24,146,336,254,188,350,172,54,1499,4,10,12,9,11,3,0,51,16,18,19,6,11,0,3,72,14,31,32,14,19,7,5,120,164,368,282,200,368,177,56,1622,187,174,85,57,81,37,13,636,0,0,0,0,4,0,0,6,356,547,375,254,452,214,77,2270
SED22901,82,140,112,107,118,61,36,651,6,8,5,3,9,3,3,40,3,7,3,0,0,0,0,11,154,264,228,192,291,145,100,1384,4,4,9,3,10,8,3,37,9,29,17,4,11,5,0,78,15,34,26,11,18,12,4,117,169,295,256,204,316,154,111,1498,148,152,79,73,88,38,25,606,0,0,0,0,0,0,0,5,318,453,337,276,406,194,130,2108
SED23007,84,164,124,90,127,91,41,727,17,14,0,4,3,7,0,51,4,5,11,6,8,6,3,60,198,340,271,180,302,194,116,1601,22,40,27,23,38,23,12,180,24,71,38,15,20,21,18,207,44,107,66,39,58,43,23,389,249,448,336,221,358,239,140,1999,376,347,188,125,187,100,67,1396,9,11,3,6,5,3,0,44,629,809,525,355,554,342,213,3435
SED23101,44,112,100,75,122,68,35,558,3,0,3,0,4,3,3,19,0,4,0,3,3,4,3,18,76,228,211,158,284,179,100,1248,0,3,10,5,12,4,4,43,10,11,8,10,10,13,8,66,10,11,20,19,18,18,12,107,94,246,225,175,306,200,115,1361,95,90,79,64,85,54,39,510,0,0,0,0,0,0,0,7,187,334,303,240,396,254,158,1870
SED23205,117,249,174,125,167,68,20,917,20,12,3,4,9,3,0,45,8,10,5,3,5,3,0,33,211,407,320,241,391,168,73,1810,26,28,28,11,19,7,0,125,27,55,30,20,15,10,0,153,51,80,59,28,35,20,3,274,260,483,383,265,425,191,79,2089,404,361,192,116,158,45,23,1301,11,16,9,4,3,0,0,43,674,864,583,390,588,240,97,3433
SED23308,100,198,147,110,171,60,22,803,23,12,9,6,14,3,4,66,3,4,5,3,4,0,0,26,177,352,273,215,391,143,67,1619,3,29,13,6,19,6,0,78,18,23,10,5,13,3,3,75,22,51,27,13,27,9,3,155,194,401,300,231,420,155,68,1771,268,231,123,103,114,34,14,889,4,3,5,0,5,0,0,19,466,636,427,331,536,187,87,2677
SED23402,147,252,186,121,171,61,22,959,13,18,3,8,14,0,3,59,6,6,3,4,3,3,0,23,239,439,321,260,413,153,59,1887,13,29,14,10,11,7,0,80,33,33,17,21,14,3,0,122,40,65,34,30,27,12,0,206,277,501,354,298,439,165,60,2095,330,251,119,65,86,31,13,895,3,0,6,3,5,0,0,14,612,752,476,366,532,202,75,3005
SED23502,99,213,166,99,144,28,4,753,15,13,9,10,13,0,0,54,7,9,0,3,5,0,0,30,158,327,266,207,296,54,5,1309,6,19,4,12,20,4,0,62,18,42,23,14,8,0,0,105,24,57,28,32,26,5,0,170,177,384,289,234,321,59,5,1479,306,291,145,90,115,16,3,961,4,7,0,8,0,0,0,20,492,681,437,328,442,77,10,2464
SED23602,97,183,109,90,142,43,4,673,10,13,10,4,3,0,0,32,4,3,3,4,3,0,0,23,145,275,197,181,283,68,15,1162,7,21,14,7,18,0,0,67,17,37,15,3,17,0,0,95,20,60,31,16,34,3,0,165,167,333,229,194,316,70,16,1330,272,276,106,83,93,25,3,854,0,6,4,9,0,0,0,20,442,613,343,289,413,97,17,2211
SED23702,151,304,194,152,189,52,21,1063,9,14,5,11,15,4,0,62,4,5,10,9,6,0,0,38,235,456,328,280,416,148,60,1918,6,13,15,11,20,3,0,76,29,47,31,22,10,0,0,144,36,58,45,36,34,3,3,221,275,517,377,318,443,153,65,2136,306,318,168,89,122,25,7,1035,3,5,5,4,0,0,0,18,587,836,547,410,571,176,70,3191
SED23806,42,97,76,49,93,55,33,442,13,3,3,4,0,0,0,19,0,5,0,0,0,3,5,14,80,216,143,115,219,140,93,1008,0,8,3,3,8,3,0,26,3,8,0,3,9,6,3,40,5,13,7,4,16,11,3,65,88,229,154,119,237,156,96,1069,47,77,58,47,78,40,36,388,0,4,0,3,0,0,0,6,137,311,207,170,310,194,126,1463
SED23901,69,150,112,70,108,63,29,599,4,0,5,3,3,6,0,20,4,5,0,3,3,4,3,21,124,248,219,165,257,185,104,1299,4,13,8,9,5,7,3,48,10,25,14,7,6,6,6,75,15,40,17,18,16,14,5,125,136,287,239,183,273,200,108,1430,155,156,105,61,68,61,28,639,3,0,3,0,0,0,0,8,296,445,347,245,343,262,144,2079
SED24006,40,113,103,77,122,93,52,616,5,5,3,3,4,4,3,25,0,11,4,0,3,7,0,21,72,249,240,197,319,233,131,1441,4,10,6,10,8,7,4,57,5,11,9,7,9,4,3,54,6,21,16,22,21,17,9,105,80,268,253,217,335,250,142,1542,76,114,105,77,139,71,50,637,0,0,0,0,0,0,0,4,156,385,359,294,471,318,189,2189
SED24105,81,206,138,89,151,79,40,783,10,3,3,6,7,3,3,29,5,6,9,9,9,7,4,45,188,387,294,209,329,209,112,1729,26,28,17,11,27,12,3,119,19,35,28,11,19,14,9,129,42,59,47,22,46,33,8,254,224,448,341,228,370,243,124,1985,328,293,160,113,160,81,64,1196,13,19,3,3,4,0,3,45,566,761,505,350,534,323,185,3230
SED24207,134,266,172,128,187,97,48,1035,13,13,12,7,11,6,3,62,16,17,9,6,12,3,3,71,298,558,388,265,422,232,118,2284,18,43,25,22,27,15,9,160,24,72,43,31,28,18,6,224,37,113,65,61,55,32,19,384,337,674,454,320,480,269,141,2674,509,544,295,172,237,129,56,1952,13,18,9,5,0,0,0,48,862,1234,765,503,717,395,197,4667
SED24308,171,250,192,119,159,52,25,969,22,18,10,5,18,3,0,73,6,5,3,4,5,0,0,24,255,424,322,248,364,131,55,1796,15,44,29,16,33,0,3,145,34,65,45,23,23,5,0,199,53,110,79,44,55,10,4,352,303,530,400,290,415,142,62,2145,578,546,255,183,227,72,40,1908,12,18,12,8,4,3,3,50,896,1099,664,487,650,219,99,4102
SED24408,77,203,146,105,129,36,3,688,8,10,6,6,7,3,0,41,0,6,6,0,3,0,0,21,107,284,238,176,245,60,6,1119,4,16,13,10,6,7,0,55,8,38,11,17,14,3,0,89,14,56,23,23,17,8,0,145,121,338,256,205,264,64,6,1259,287,236,150,89,99,13,7,880,3,9,6,3,5,3,0,27,408,589,414,294,373,81,13,2174
SED24504,89,192,131,101,139,51,17,728,9,11,7,6,9,0,0,37,4,3,0,3,3,0,0,14,134,282,237,173,301,107,31,1278,0,10,14,6,15,3,0,49,3,10,4,3,11,3,0,37,6,18,16,13,23,5,0,83,144,306,255,187,328,111,36,1359,137,147,90,47,60,21,7,513,3,3,0,3,0,0,0,9,280,450,351,236,388,136,45,1885
SED24606,51,106,70,42,62,56,45,422,8,3,0,0,4,6,0,17,0,3,3,0,5,0,0,13,89,208,154,120,196,141,110,1026,3,7,0,3,3,6,3,28,0,8,7,9,9,0,3,30,5,16,7,6,12,7,9,61,92,224,167,130,204,147,116,1083,42,81,60,45,62,40,31,365,0,3,3,0,0,0,0,8,136,313,226,171,266,193,151,1464
SED24703,51,77,60,32,64,54,39,384,11,5,3,3,3,9,0,33,7,0,3,0,0,3,0,10,140,186,118,92,156,136,107,932,5,13,5,12,10,7,4,61,19,35,15,10,12,10,5,96,20,43,16,20,20,20,12,157,161,233,136,110,175,151,124,1088,218,199,95,75,132,123,69,918,12,12,4,5,0,7,0,36,386,441,236,192,315,280,195,2036
SED24808,181,299,191,143,176,63,23,1076,32,12,6,9,16,7,3,86,4,14,3,9,4,0,0,35,339,554,372,278,421,155,58,2178,33,72,44,18,30,9,3,214,45,98,54,33,32,3,7,273,82,176,100,48,60,12,9,488,416,730,473,329,482,172,64,2661,861,772,377,182,230,68,51,2541,15,22,10,3,3,3,0,54,1295,1522,858,519,711,245,114,5257
SED24904,117,211,135,95,145,37,3,752,20,7,4,3,8,0,0,40,4,10,6,3,8,3,0,32,207,366,272,231,328,82,14,1499,13,33,27,7,12,5,0,100,22,44,19,16,12,3,0,127,34,81,48,30,22,7,0,225,240,451,323,256,353,90,20,1731,463,462,199,131,144,20,7,1428,10,6,12,5,3,0,0,39,715,917,531,389,504,116,28,3194
SED25003,86,194,143,109,125,45,27,730,6,3,3,3,3,3,5,27,9,6,12,4,11,5,0,53,168,322,291,222,300,157,93,1545,12,9,8,12,16,10,4,69,12,33,23,17,13,4,0,106,32,47,35,26,23,10,3,175,197,362,323,243,320,170,96,1716,290,298,153,99,116,54,30,1048,9,9,11,3,0,0,0,28,499,671,481,348,441,223,126,2797
SED25102,92,195,142,99,144,56,16,743,0,6,3,3,3,0,3,20,3,3,4,0,5,0,0,12,130,297,253,173,294,135,65,1349,3,7,4,4,8,5,3,33,16,22,10,6,9,0,3,61,12,36,12,10,14,9,4,98,139,329,265,188,305,144,71,1448,148,127,89,50,58,26,5,502,0,5,9,0,0,3,0,16,294,464,355,239,364,168,80,1969
SED25205,79,167,127,92,127,60,34,689,6,4,0,4,5,3,0,24,3,9,0,3,3,0,0,24,143,317,247,216,320,187,94,1520,0,7,7,5,14,0,0,31,3,26,14,9,3,4,0,59,3,32,20,13,16,8,3,93,142,350,266,223,340,192,102,1617,126,93,63,33,48,24,11,403,0,0,0,0,0,0,0,3,269,445,330,261,388,216,116,2022
SED25302,69,201,161,97,156,50,20,752,8,5,7,3,5,4,3,33,5,9,8,0,5,0,3,27,125,355,286,204,318,123,53,1459,4,8,7,3,12,3,0,32,13,20,13,7,9,3,0,64,15,24,16,14,14,3,0,93,136,386,303,217,335,123,53,1553,119,120,88,46,59,23,6,463,0,0,3,0,3,0,0,10,252,507,396,265,396,152,63,2035
SED25402,136,270,164,146,168,36,15,933,28,18,3,8,14,0,4,76,3,9,4,0,5,0,0,24,229,425,287,262,355,93,34,1694,22,58,47,20,39,7,0,194,34,76,59,23,44,7,0,241,60,139,102,41,81,18,0,435,291,560,386,304,436,112,37,2132,552,431,202,141,146,39,10,1512,9,10,3,5,0,0,0,34,851,997,590,456,580,147,46,3675
SED25501,30,94,94,76,102,87,44,531,6,3,4,3,0,5,9,30,6,0,5,6,4,5,4,26,90,203,196,178,276,237,138,1314,3,7,3,3,13,7,3,49,9,15,12,13,16,11,6,77,7,27,15,13,25,20,11,124,100,228,210,199,297,261,147,1437,88,129,88,72,149,101,56,681,0,3,0,5,0,0,0,10,184,356,301,276,456,361,205,2130
SED25605,57,126,111,80,96,56,38,567,12,8,7,0,3,9,7,44,3,5,0,5,5,0,10,30,130,253,222,173,241,169,114,1306,16,28,16,8,19,10,6,89,14,17,8,8,11,14,0,64,22,45,22,20,26,22,5,155,154,295,242,190,265,188,122,1465,193,190,116,72,105,67,38,785,0,3,0,3,0,0,3,14,353,489,357,262,375,255,163,2259
SED25704,114,209,152,100,129,27,3,734,10,9,8,4,8,0,0,33,4,3,4,5,3,3,0,26,175,337,276,190,298,69,12,1357,5,20,14,7,9,3,0,63,19,36,12,10,15,0,0,99,29,62,27,16,24,3,0,167,205,402,300,209,324,73,12,1525,324,288,151,104,97,22,0,987,12,10,3,5,4,0,0,35,539,698,453,316,428,95,12,2549
SED25802,99,257,175,117,147,34,11,838,13,17,5,8,10,0,3,55,6,3,5,0,8,4,0,29,169,382,284,216,351,92,37,1523,12,29,13,11,16,4,0,93,21,44,19,13,15,4,3,120,32,76,38,24,32,7,3,208,200,460,319,238,384,99,34,1737,389,362,188,117,150,50,4,1253,5,9,5,0,0,0,0,23,592,829,510,359,536,151,40,3012
SED25905,78,154,129,98,138,53,27,680,5,5,4,5,6,0,0,31,9,5,7,3,5,3,9,38,141,296,240,207,313,155,84,1438,14,16,18,9,21,8,4,96,29,32,24,12,11,6,4,111,42,44,43,20,32,7,10,207,184,343,276,230,343,164,101,1645,282,260,129,88,167,63,36,1029,9,3,3,3,3,0,0,22,477,611,412,324,516,229,135,2697
SED26005,122,234,177,144,177,78,27,953,18,16,8,10,8,5,0,56,3,6,9,0,7,0,3,35,226,457,362,304,472,213,102,2122,20,23,20,12,23,7,13,116,26,40,26,12,17,0,3,119,45,64,41,31,38,6,14,233,268,516,407,327,512,216,112,2356,367,327,195,134,182,89,56,1350,8,6,6,3,3,0,0,25,644,851,606,468,697,306,170,3735
SED26102,106,242,194,123,160,39,18,878,9,14,7,3,9,0,3,46,0,6,4,0,9,0,0,23,153,347,288,207,299,86,44,1416,7,14,10,6,11,0,0,50,8,38,22,11,3,3,0,83,17,50,35,14,14,7,4,137,166,394,317,226,311,91,44,1555,221,200,96,77,75,17,4,694,4,16,3,6,7,0,0,33,393,608,418,314,388,112,54,2279
SED26207,60,135,125,82,115,72,34,630,8,3,3,5,4,0,0,30,5,6,3,8,7,10,3,41,107,262,215,195,285,181,115,1358,0,9,3,6,8,10,4,35,6,22,19,10,16,3,3,77,6,28,18,14,23,12,4,116,118,293,238,209,303,187,125,1475,104,96,63,51,64,27,27,439,0,0,0,3,3,0,3,6,221,395,305,262,366,220,151,1920
SED26303,80,133,86,64,86,46,21,514,13,7,3,3,4,4,5,34,0,4,3,3,4,0,0,11,130,261,185,138,199,124,75,1113,3,11,3,3,8,0,9,37,3,7,9,8,6,0,0,35,7,19,8,7,17,0,11,74,136,276,194,149,218,125,89,1185,90,82,57,38,51,27,24,371,0,0,0,0,4,0,3,10,226,363,250,189,270,151,114,1568
SED26406,43,107,82,59,88,56,31,471,8,7,3,0,4,3,0,35,3,3,3,7,0,0,0,18,91,237,177,138,203,142,97,1091,3,12,5,6,9,11,0,49,7,11,9,4,3,5,3,39,9,20,15,12,12,11,4,88,106,253,194,152,219,157,104,1181,81,98,55,34,50,36,36,392,0,0,3,0,0,0,0,7,191,358,252,181,265,194,138,1578
SED26504,123,238,128,110,123,33,5,771,20,12,11,10,13,4,0,67,4,8,3,4,4,0,0,20,182,375,237,205,262,57,10,1328,11,37,21,9,9,0,0,89,15,31,17,7,9,0,0,81,22,63,39,22,15,3,0,169,205,440,274,226,279,63,10,1497,270,240,137,95,104,21,4,875,11,14,6,4,3,0,0,48,492,696,417,325,383,79,21,2421
SED26603,85,163,112,74,91,79,25,617,5,9,8,4,5,8,3,47,3,7,0,7,7,0,3,30,146,305,235,170,245,178,74,1348,3,20,13,9,14,6,3,72,6,25,12,11,14,8,3,76,15,43,26,16,27,16,4,144,161,347,264,183,268,190,79,1491,172,170,132,83,124,57,33,772,5,9,6,7,6,0,0,31,338,526,401,275,394,245,114,2298
SED26708,110,196,145,101,157,27,13,748,11,13,13,0,4,3,0,43,0,6,7,4,3,0,0,16,159,291,252,170,280,63,20,1236,3,9,6,8,16,4,0,56,11,27,12,9,3,0,0,63,16,42,20,15,20,4,0,117,177,330,276,191,302,67,20,1352,258,229,117,84,68,14,6,780,4,8,3,4,3,0,0,22,440,565,394,272,371,82,27,2155
SED26806,38,77,48,47,53,45,30,336,8,4,0,0,0,0,0,20,0,0,0,4,7,0,3,14,100,178,102,90,145,126,83,823,0,6,3,4,4,4,0,30,7,17,7,3,4,3,4,45,10,21,10,4,10,11,9,77,106,203,118,94,157,135,88,902,100,101,54,41,58,41,27,430,0,0,0,0,0,0,0,0,209,304,175,139,214,175,115,1327
SED26903,91,164,134,73,115,63,27,672,10,10,7,0,0,3,3,35,0,3,0,0,0,0,0,10,172,272,226,129,227,134,81,1252,8,21,23,11,10,10,8,80,14,23,8,13,11,3,5,91,21,48,33,27,21,18,13,168,193,321,259,160,247,146,94,1417,270,244,127,102,114,64,42,977,8,4,5,5,0,0,0,20,471,568,394,265,363,218,141,2417
SED27003,53,95,56,56,70,42,26,399,5,8,9,4,3,6,3,37,3,0,0,0,9,3,0,17,100,192,132,115,148,116,79,893,8,12,6,10,21,7,12,72,14,34,13,12,24,14,4,113,23,43,26,15,41,15,17,187,127,237,161,136,191,132,96,1078,313,272,130,94,118,76,44,1053,13,0,9,3,4,0,0,23,452,505,296,229,315,206,140,2150
SED27101,62,145,106,85,125,72,40,626,6,0,3,0,0,3,0,14,4,7,6,4,3,0,3,28,112,237,228,195,284,183,113,1352,0,12,14,10,8,6,0,50,11,29,7,10,9,7,5,72,13,36,19,11,16,8,6,120,128,277,244,210,299,191,118,1474,142,127,77,66,87,44,18,562,0,4,0,3,0,0,0,8,273,405,324,282,388,235,144,2046
SED27208,90,195,138,102,141,27,16,702,15,14,13,9,11,0,0,65,0,7,4,3,8,3,0,23,127,326,226,196,276,64,24,1232,10,27,26,12,12,3,3,87,12,45,18,17,11,0,0,99,21,66,37,27,23,6,3,188,151,394,261,222,298,70,21,1421,340,292,162,135,115,30,4,1074,4,0,3,3,0,0,0,15,492,689,433,354,412,97,29,2504
SED27305,56,150,106,87,108,48,20,580,8,3,3,3,10,4,3,33,0,5,6,3,3,6,0,26,101,253,202,176,302,156,85,1268,4,0,3,0,3,3,3,19,4,14,7,4,10,4,3,50,10,13,16,3,19,8,3,72,113,270,215,179,316,165,87,1339,97,84,51,37,51,36,34,393,0,0,8,4,0,3,0,15,204,355,274,218,375,205,119,1748
SED27406,34,125,90,80,109,54,25,526,4,4,9,5,5,4,0,29,3,5,6,3,3,3,5,24,74,247,197,171,255,162,90,1198,0,6,3,3,5,12,4,32,3,18,13,11,8,0,0,52,3,23,19,14,13,12,4,82,75,274,214,185,274,170,96,1281,72,63,44,40,39,21,15,302,0,0,0,0,0,0,0,3,150,335,254,225,310,191,114,1587
SED27504,131,275,186,130,195,42,5,962,21,16,7,4,12,7,3,72,0,13,6,4,8,0,0,34,222,456,333,250,431,94,27,1806,13,30,17,13,12,7,0,101,42,66,35,17,19,6,0,178,52,96,54,33,35,12,3,285,278,551,382,280,461,107,25,2095,499,437,227,146,154,35,16,1511,7,16,14,4,3,0,0,44,781,1003,620,430,618,150,42,3648
SED27608,137,200,159,114,151,55,29,849,9,12,4,3,14,0,4,45,0,3,5,3,0,3,0,17,202,342,279,219,322,144,77,1581,7,19,14,14,3,0,0,64,6,17,20,5,11,0,0,67,16,40,35,26,22,0,3,132,211,381,306,246,342,147,81,1718,138,160,92,51,70,29,11,550,0,6,4,0,5,3,0,15,353,554,406,297,415,176,88,2286
SED27708,122,242,184,130,186,47,6,913,17,11,11,8,15,0,0,68,0,10,8,3,5,0,0,22,179,374,315,223,373,88,21,1577,4,22,9,14,13,3,0,59,9,45,25,12,19,7,0,116,13,65,37,27,26,8,0,170,193,436,345,250,395,95,21,1744,328,279,125,84,83,25,3,920,10,7,3,0,4,3,0,31,532,726,474,339,483,119,26,2700
SED27807,91,178,120,133,137,67,37,770,16,4,3,7,5,4,0,37,10,12,14,6,21,8,3,74,214,369,258,232,310,175,113,1677,35,68,39,33,39,32,18,266,32,75,55,30,42,20,14,268,69,143,95,59,83,54,30,537,283,514,352,297,399,224,142,2216,574,530,272,224,259,138,99,2095,22,19,13,11,7,6,3,82,881,1069,642,530,666,371,246,4390
SED27907,121,220,148,100,138,40,32,802,19,6,6,7,9,3,3,56,6,9,4,6,7,8,0,52,209,384,278,228,327,149,94,1675,4,15,3,7,14,3,0,49,17,30,16,10,5,3,0,83,22,45,18,18,23,11,0,133,232,432,294,250,347,162,95,1805,261,223,134,81,102,39,21,859,6,5,6,4,0,0,0,19,497,657,435,334,451,199,110,2684
SED28007,103,202,137,94,142,75,46,796,8,10,9,10,3,4,3,49,4,3,8,0,4,3,4,31,167,387,308,218,378,199,122,1775,19,15,18,11,17,17,3,98,14,50,30,20,33,12,3,161,37,68,40,35,44,21,4,256,202,452,352,254,424,220,129,2029,242,239,122,79,117,65,26,892,4,10,4,4,6,3,0,32,450,702,481,339,539,291,157,2955
SED28107,145,244,160,106,134,63,29,878,26,15,5,4,8,4,5,56,17,24,13,9,9,11,7,79,349,533,375,268,367,207,106,2208,33,65,39,27,32,15,7,217,41,69,35,12,32,16,3,203,70,133,81,40,66,29,7,425,414,672,451,314,435,239,116,2633,533,508,246,159,195,80,32,1744,19,9,3,6,3,3,0,46,965,1183,699,477,635,315,145,4427
SED28203,97,182,110,102,116,52,24,690,17,8,3,0,0,6,3,39,7,8,7,0,3,0,0,28,191,324,219,190,248,126,70,1370,19,31,13,18,12,16,4,111,15,31,23,16,16,6,3,109,35,60,33,32,31,21,6,217,232,384,249,220,278,151,77,1588,338,349,219,145,156,93,57,1352,11,12,5,8,6,0,0,40,569,746,480,378,438,241,135,2981
SED28301,42,111,113,75,106,79,46,561,3,0,0,4,0,5,4,21,0,5,3,0,4,4,3,17,84,197,195,148,226,187,105,1142,8,12,0,3,8,4,3,31,6,8,7,4,7,3,3,41,12,24,5,7,15,8,3,70,94,216,202,156,237,200,109,1214,84,110,74,46,74,65,35,494,0,0,0,0,0,0,0,7,176,329,277,206,314,267,151,1712
SED28408,120,297,188,99,180,38,19,944,13,20,8,7,5,4,0,59,6,8,11,3,9,0,0,34,177,428,327,204,373,123,36,1662,11,44,29,11,11,3,0,117,30,66,27,22,24,5,0,183,46,114,53,34,36,9,3,299,218,540,382,235,407,132,42,1960,362,299,160,122,110,33,11,1096,6,12,0,0,5,0,0,22,585,849,543,360,520,165,54,3079
SED28507,136,268,172,111,133,64,27,903,23,7,8,5,3,0,0,49,10,7,10,7,12,4,0,45,285,472,343,246,360,187,74,1961,16,45,29,20,26,11,0,143,30,74,51,25,14,10,3,204,46,121,75,39,41,15,7,347,333,592,419,284,393,210,81,2307,511,495,262,173,198,72,33,1738,15,20,8,3,6,3,0,58,863,1105,691,455,598,281,114,4109
SED28607,77,173,85,61,111,61,29,599,4,8,0,3,0,3,0,21,5,0,3,4,0,0,3,15,160,363,215,169,291,154,77,1425,9,10,9,7,7,10,6,57,10,24,24,8,21,3,4,90,18,29,28,16,26,13,7,146,172,396,244,189,316,169,86,1569,156,167,94,62,80,45,24,625,3,3,4,0,3,0,3,13,331,563,341,248,405,215,115,2209
SED28704,151,290,232,139,173,69,31,1085,23,15,13,8,10,6,3,81,12,10,4,0,0,0,0,29,292,540,421,321,421,186,87,2266,10,23,18,7,12,0,0,84,21,48,22,10,13,4,0,120,37,77,44,20,20,10,0,202,329,615,460,338,442,196,88,2470,425,374,199,96,103,40,18,1257,9,8,3,0,0,0,0,25,767,997,665,435,548,233,107,3754
SED28803,128,240,175,131,182,63,30,952,10,6,11,3,3,3,3,44,3,13,11,6,6,6,0,43,253,441,359,268,411,186,101,2014,18,31,22,9,17,16,3,121,30,41,33,19,30,15,6,169,48,76,50,34,44,28,6,291,303,516,410,296,453,220,113,2301,488,456,259,173,201,103,47,1723,3,20,4,5,0,0,0,33,794,980,669,474,658,320,162,4056
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED30001,170,363,220,118,160,31,16,1078,17,32,15,6,10,3,0,90,5,13,9,8,4,0,0,45,308,665,430,297,414,95,50,2246,19,29,21,18,13,3,0,104,36,56,23,16,15,6,0,150,53,90,44,32,31,8,0,255,361,756,471,320,438,101,48,2505,411,369,171,124,113,24,6,1219,12,11,4,8,3,0,0,32,779,1134,652,451,552,128,58,3754
SED30002,114,225,135,75,106,31,11,694,13,14,14,7,8,3,0,58,0,4,7,3,3,3,3,19,220,433,304,212,314,114,47,1644,28,43,31,21,18,0,3,142,10,40,24,16,14,3,3,106,43,75,51,30,33,4,3,249,266,516,354,242,338,119,51,1884,274,264,145,71,103,24,7,883,9,7,7,3,5,0,0,32,542,783,505,316,449,150,58,2802
SED30003,54,98,94,72,104,55,14,488,8,7,9,0,7,0,0,38,0,3,0,0,3,0,3,11,105,251,224,176,250,132,66,1202,0,9,3,9,6,0,0,31,3,9,4,5,7,0,0,31,6,18,9,11,13,6,3,55,104,265,234,185,260,140,72,1254,65,66,38,21,44,22,10,264,0,0,0,3,0,0,0,0,168,327,274,208,296,163,84,1525
