SED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED21706,7,48,0,548,12,0,0,3,5,12,0,3,0,32,280,352,5,0,0,3,0,3,0,3,0,33,28,71,1227,224,31,612,55,528,21,430,42,1783,321,5275
SED21805,3,13,0,256,22,4,3,10,8,14,0,3,3,34,284,386,11,0,6,8,3,7,0,6,3,59,34,133,1798,220,59,877,102,668,46,344,81,1690,365,6236
SED21906,6,79,0,883,22,11,0,9,0,17,0,9,0,29,347,436,18,4,4,9,3,5,0,8,8,45,32,132,2010,416,44,1036,88,705,47,497,50,1385,406,6681
SED22005,8,5,0,181,16,3,0,10,4,9,0,12,3,50,260,380,5,4,4,3,3,3,0,6,0,77,42,148,1249,269,40,679,78,660,32,446,68,2390,342,6244
SED22105,0,6,0,143,31,3,0,9,3,23,0,7,9,40,245,377,23,0,8,7,3,9,4,3,6,72,50,178,2184,202,52,1033,101,840,42,379,66,1781,335,7023
SED22201,3,15,0,206,8,5,4,3,3,12,4,9,0,40,216,308,14,0,3,0,3,5,0,3,0,50,30,122,1413,201,47,723,81,513,33,401,57,1895,270,5625
SED22305,0,10,0,71,14,0,4,5,0,20,0,10,3,43,242,341,3,0,3,4,0,0,0,10,5,78,54,159,858,225,34,571,56,766,33,388,80,2179,339,5526
SED22404,0,27,0,214,14,5,0,8,0,30,0,9,3,60,312,446,17,7,8,7,3,5,0,7,3,63,44,169,1118,406,79,910,103,575,73,558,97,2243,393,6550
SED22501,3,24,0,391,9,3,0,15,4,18,3,3,0,37,246,337,3,0,0,11,0,0,0,4,0,43,14,75,1092,263,34,770,76,576,38,458,54,1868,287,5512
SED22607,0,21,0,682,15,0,0,9,0,13,0,9,0,30,356,436,11,0,4,8,0,10,0,5,3,33,32,98,1943,261,41,836,65,621,54,395,49,1406,408,6083
